provincia,comune,numero_fascicolo,regione,indirizzo,stato,cup,tipologia_beneficiario,tipologia_intervento,importo_richiesto,importo_concesso,importo_liquidato,flag_superbonus,area_kmq,popolazione_residente,pro_com_t,url_opencup
AQ,CAPITIGNANO,1306602100000005022017,ABRUZZO,VIA POMARO,Chiuso,B98I22000150001,Delegato di condominio non registrato,RCR-CI-L0,94943.6,105125.93,82412.81,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I22000150001
AQ,CAPITIGNANO,1306602100000136392020,ABRUZZO,VIA ROMA,Chiuso,B98I21001340001,,RCR-CI-L0,50231.29,50192.19,49917.63,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21001340001
AQ,CAPITIGNANO,1306602100000010412018,ABRUZZO,VIA ROMA,Chiuso,B93E23000260001,Delegato,RCR-CI-L0,93198.61,82172.92,92049.24,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000260001
AQ,CAPITIGNANO,1306602100000147592020,ABRUZZO,VIA SAN CARLO,Chiuso,B93E23000240008,Singolo Proprietario,RCR-CI-L0,30474.59,30185.9,33451.59,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000240008
AQ,CAPITIGNANO,1306602100000143972020,ABRUZZO,VIA DEL MONTE,Chiuso,B93E23000580008,Singolo Proprietario,RCR-CI-L0,14820.87,13602.1,16241.5,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000580008
AQ,CAPITIGNANO,1306602100000011932018,ABRUZZO,VIA EVANGELISTI,Chiuso,B93E22000180001,Singolo Proprietario,RCR-CI-L0,34239.07,32765.61,39151.54,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000180001
AQ,CAPITIGNANO,1306602100000325102022,ABRUZZO,VIA SAN PAOLO - FRAZIONE COLLENOVERI,Aperto,B93E24000550001,Delegato,RCR-CI-L0,120909.59,0,0,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000550001
AQ,CAPITIGNANO,1306602100000007832018,ABRUZZO,località colle pago,Chiuso,B91G20000110001,,RCR-CI-L0,85612.08,84375.07,84102.38,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000110001
AQ,CAPITIGNANO,1306602100000025332019,ABRUZZO,VIA SAN CARLO,Chiuso,B91G20000080001,,RCR-CI-L0,49504.36,49450.37,47849.63,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000080001
AQ,CAPITIGNANO,1306602100000147682020,ABRUZZO,VIA SAN GIOVANNI PAGANICA,Chiuso,B98I22000040001,,RCR-CI-L0,90569.63,89811.76,103553.8,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I22000040001
AQ,CAPITIGNANO,1306602100000012842018,ABRUZZO,VIA ROMA,Chiuso,B93E23000740008,Delegato di condominio non registrato,RCR-CI-L0,117513.45,120481.43,116948.44,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000740008
AQ,CAPITIGNANO,1306602100000029622019,ABRUZZO,via della Repubblica,Chiuso,B93E22000960008,Persona fisica avente altro titolo,RCR-CI-L0,199585.87,174351.34,184244,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000960008
AQ,CAPITIGNANO,1306602100000005242017,ABRUZZO,via Angelo Maria Ricci,Chiuso,B91G20000240001,,RCR-CI-L0,100480.48,100075.66,90268.1,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000240001
AQ,CAPITIGNANO,1306602100000032772019,ABRUZZO,via Rovagnano (Fraz. Pago),Chiuso,B98I21001960001,Singolo Proprietario,RCR-CI-L0,41674.2,41643.32,42905.58,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21001960001
AQ,CAPITIGNANO,1306602100000023832018,ABRUZZO,VIA DELLE CAPANNELLE,Chiuso,B93E23000600001,Singolo Proprietario,RCR-CI-L0,94948.94,70937.09,82359.67,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000600001
AQ,CAPITIGNANO,1306602100000033822019,ABRUZZO,VIA DELLE VIGNE,Chiuso,B93E23000990001,Delegato,RCR-CI-L0,56879.92,56879.92,56845.26,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000990001
AQ,CAPITIGNANO,1306602100000380162022,ABRUZZO,via Rovagnano,Chiuso,B93E23000630001,Delegato,RCR-CI-L0,75377.79,75377.79,72840.12,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000630001
AQ,CAPITIGNANO,1306602100000148772020,ABRUZZO,Strada per Paganica Loc. San Rocco,Aperto,B98I21001410001,Rappresentante legale,RCR-CI-L0,91399.9,78944.24,45699.98,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21001410001
AQ,CAPITIGNANO,1306602100000031082019,ABRUZZO,VIA POMARO,Chiuso,B93E22000860008,Singolo Proprietario,RCR-CI-L0,71500.77,65743.07,73206.97,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000860008
AQ,CAPITIGNANO,1306602100000030422019,ABRUZZO,via san pietro,Chiuso,B93E22001080008,Delegato,RCR-CI-L0,88738.02,88328.33,89797.4,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001080008
AQ,CAPITIGNANO,1306602100000031072019,ABRUZZO,VIA SAN CARLO,Chiuso,B93E22001180008,Delegato,RCR-CI-L0,20873.49,20642.56,24457.6,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001180008
AQ,CAPITIGNANO,1306602100000000402017,ABRUZZO,VIA SABATUCCIO CIANFARINI MARIANGELA,Chiuso,B96B18000060001,,RCR-CI-L0,43695.12,40685.43,39119.1,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B96B18000060001
AQ,CAPITIGNANO,1306602100000189592021,ABRUZZO,VIA SAN DOMENICO,Aperto,B93E22000160001,Singolo Proprietario,RCR-CI-RES,220875.26,217238,193946.15,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000160001
AQ,CAPITIGNANO,1306602100000031062019,ABRUZZO,VIA VIA STRADA N. 2,Chiuso,B98I21000200001,Delegato,RCR-CI-L0,34981.01,34559.09,33851.71,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000200001
AQ,CAPITIGNANO,1306602100000004522017,ABRUZZO,VIA STRADA,Chiuso,B93E22001320008,Singolo Proprietario,RCR-CI-L0,64578.01,64281.65,76987.07,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001320008
AQ,CAPITIGNANO,1306602100000315802022,ABRUZZO,VIA CAPO CROCE,Chiuso,B93E23000540008,Singolo Proprietario,RCR-CI-L0,32961.7,28678.51,28570.36,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000540008
AQ,CAPITIGNANO,1306602100000007682018,ABRUZZO,Via Angelo Maria Ricci,Chiuso,B91G20000020001,,RCR-CI-L0,104446.06,103619.64,101310.32,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000020001
AQ,CAPITIGNANO,1306602100000025102019,ABRUZZO,PIAZZA DEL MUNICIPIO,Chiuso,B98I21000210008,,RCR-CI-L0,84907.97,58114.19,56901.78,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000210008
AQ,CAPITIGNANO,1306602100000024422019,ABRUZZO,Via Delle Capannelle,Chiuso,B98I22000210001,Delegato,RCR-CI-L0,59691.9,57304.29,65295.9,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I22000210001
AQ,CAPITIGNANO,1306602100000237382021,ABRUZZO,VIA ROVAGNANO,Chiuso,B93E24000020001,Singolo Proprietario,RCR-CI-L0,41124.12,41098.2,38626.56,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000020001
AQ,CAPITIGNANO,1306602100000006882018,ABRUZZO,VIA ROMA,Aperto,B93E22001280001,Delegato di condominio non registrato,RCR-CI-L0,205778.12,194617.45,123613.4,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001280001
AQ,CAPITIGNANO,1306602100000002652017,ABRUZZO,VIA DELLA STAZIONE,Chiuso,B98I21000370001,Singolo Proprietario,RCR-CI-L0,126390.64,125416.01,150539.25,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000370001
AQ,CAPITIGNANO,1306602100000119412020,ABRUZZO,via Roma,Chiuso,B98I21000180001,,RCR-CI-L0,63431.43,63154.56,61497.06,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000180001
AQ,CAPITIGNANO,1306602100000004732017,ABRUZZO,VIA SABATUCCIO,Chiuso,B91G20000210008,,RCR-CI-L0,84312.92,79333.39,77513.34,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000210008
AQ,CAPITIGNANO,1306602100000095612020,ABRUZZO,VIA DEI CASSINI,Chiuso,B93E22000280001,Delegato,RCR-CI-L0,102734.93,102652.37,122334.17,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000280001
AQ,CAPITIGNANO,1306602100000011692018,ABRUZZO,via madonna degli angeli,Chiuso,B93E22000950008,Delegato di condominio non registrato,RCR-CI-L0,155791.01,155791.01,127745.96,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000950008
AQ,CAPITIGNANO,1306602100000025692019,ABRUZZO,via san carlo,Chiuso,B91G19000400008,,RCR-CI-L0,79033.92,75880.66,75880.66,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G19000400008
AQ,CAPITIGNANO,1306602100000301822022,ABRUZZO,VIA SAN CIPRIANO,Chiuso,B93E23000220008,Delegato di condominio non registrato,RCR-CI-L0,73289.42,63543.61,60330.9,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000220008
AQ,CAPITIGNANO,1306602100000001992017,ABRUZZO,VIA ROMA,Chiuso,B99H20000190008,,RCR-CI-L0,149475.3,130275.98,112626.47,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B99H20000190008
AQ,CAPITIGNANO,1306602100000240312021,ABRUZZO,VIA CAPO CROCE,Chiuso,B93E22001050001,Singolo Proprietario,RCR-CI-L0,90894.08,81595.4,80104.38,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001050001
AQ,CAPITIGNANO,1306602100000003642017,ABRUZZO,VIA ROMA,Chiuso,B98I21000580001,Delegato,RCR-CI-L0,112582.23,77216.56,96206.06,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000580001
AQ,CAPITIGNANO,1306602100000017762018,ABRUZZO,Via DELLE CAPANNELLE,Chiuso,B98I21000440001,Singolo Proprietario,RCR-CI-L0,46638.73,46365.66,45273.65,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000440001
AQ,CAPITIGNANO,1306602100000005222017,ABRUZZO,VIA ANGELO MARIA RICCI,Chiuso,B95C20000460001,,RCR-CI-L0,79123.15,78817.42,77605.86,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B95C20000460001
AQ,CAPITIGNANO,1306602100000025272019,ABRUZZO,VIA DEI CASSIANI,Chiuso,B93E22000470001,Singolo Proprietario,RCR-CI-L0,59942.74,59938.28,69979.81,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000470001
AQ,CAPITIGNANO,1306602100000007862018,ABRUZZO,Via Madonna degli Angeli,Chiuso,B91G19000710001,,RCR-CI-L0,84858.27,83582.65,82898.52,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G19000710001
AQ,CAPITIGNANO,1306602100000039792019,ABRUZZO,via San Cipriano frazione Pago,Chiuso,B98I21000480008,Delegato,RCR-CI-L0,67082.79,65342.34,80275.63,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000480008
AQ,CAPITIGNANO,1306602100000014672018,ABRUZZO,Via Strada provinciale n°12 (frazione Collenoveri),Chiuso,B93E22000220001,Delegato,RCR-CI-L0,99100.22,95591.23,102744.85,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000220001
AQ,CAPITIGNANO,1306602100000002622017,ABRUZZO,via riocco natalucci assunta,Chiuso,B99H20000340001,,RCR-CI-L0,85271.95,82805.21,96407.23,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B99H20000340001
AQ,CAPITIGNANO,1306602100000005952018,ABRUZZO,VIA SAN CARLO,Chiuso,B93E22001070008,Singolo Proprietario,RCR-CI-L0,81985.81,76166.65,85543.48,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001070008
AQ,CAPITIGNANO,1306602100000045182019,ABRUZZO,VIA DELLE VIGNE,Chiuso,B93E22001250001,Singolo Proprietario,RCR-CI-L0,61153.24,59572.3,59421.69,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001250001
AQ,CAPITIGNANO,1306602100000145992020,ABRUZZO,VIA RIOCCO,Chiuso,B93E22001390001,Singolo Proprietario,RCR-CI-L0,51979.58,51944.02,59246.99,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001390001
AQ,CAPITIGNANO,1306602100000008912018,ABRUZZO,VIA SAN CIPRIANO,Chiuso,B91G20000200008,,RCR-CI-L0,19254.84,11711.53,11698.2,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G20000200008
AQ,CAPITIGNANO,1306602100000049632019,ABRUZZO,VIA ARINGO,Chiuso,B98I21000360001,Presidente di consorzio,RCR-CI-L0,90248.55,88834.12,86776.36,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000360001
AQ,CAPITIGNANO,1306602100000009632018,ABRUZZO,VIA MADONNA DEGLI ANGELI,Aperto,B93E24000260001,Singolo Proprietario,RCR-CI-L0,62655.83,62655.85,4014.17,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000260001
AQ,CAPITIGNANO,1306602100000071772020,ABRUZZO,VIA RIOCCO,Chiuso,B93E22000820008,Singolo Proprietario,RCR-CI-L0,48571.35,45479,58219.81,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000820008
AQ,CAPITIGNANO,1306602100000011972018,ABRUZZO,VIA SAN CIPRIANO - FRAZIONE PAGO,Chiuso,B93E22000420001,Singolo Proprietario,RCR-CI-L0,25907.96,25906.37,28863.74,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000420001
AQ,CAPITIGNANO,1306602100000010182018,ABRUZZO,VIA ROVAGNANO,Chiuso,B98I22000240001,,RCR-CI-L0,41024.23,39364.38,43155.28,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I22000240001
AQ,CAPITIGNANO,1306602100002441782023,ABRUZZO,Via San pietro,Aperto,B93E24000450001,,RCR-CI-L0,152468.85,0,0,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000450001
AQ,CAPITIGNANO,1306602100002776002023,ABRUZZO,Via Rovagnano,Aperto,B93E24000320008,Delegato di condominio non registrato,RCR-CI-L0,87582.1,86649.68,45086.15,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000320008
AQ,MONTEREALE,1306605600000012562018,ABRUZZO,VIA NAZIONALE,Chiuso,B89H20000430008,Persona fisica avente altro titolo,RCR-CI-L0,136088.37,134582.03,154342.6,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B89H20000430008
AQ,MONTEREALE,1306605600000123392020,ABRUZZO,STRADA PER MARIGNANO FRAZIONE COLLE CAVALLARI,Chiuso,B88I21000190008,,RCR-CI-L0,41236.2,33081.32,31484.85,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000190008
AQ,MONTEREALE,1306605600000039302019,ABRUZZO,via Cabbia frazione Marana,Chiuso,B88I21001280001,Singolo Proprietario,RCR-CI-L0,21973.55,21686.55,21564.81,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001280001
AQ,MONTEREALE,1306605600000007772018,ABRUZZO,Largo delle Croci,Chiuso,B81G20000210001,,RCR-CI-L0,110256.19,109798.63,105660.86,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B81G20000210001
AQ,MONTEREALE,1306605600000010532018,ABRUZZO,VIA SANTA LUCIA,Chiuso,B83E23000630001,Delegato di condominio non registrato,RCR-CI-L0,62998.82,62998.82,57936.35,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E23000630001
AQ,MONTEREALE,1306605600000002852017,ABRUZZO,via La Fonte,Chiuso,B81G19000830001,,RCR-CI-L0,81518.77,79866.22,82854.72,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B81G19000830001
AQ,MONTEREALE,1306605600000055942019,ABRUZZO,via di sotto frazione Ville di Fano,Chiuso,B88I21001980001,Singolo Proprietario,RCR-CI-L0,17493.64,17447.47,19455.1,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001980001
AQ,MONTEREALE,1306605600000149542020,ABRUZZO,VIA TORRALE,Chiuso,B88I22000000008,Singolo Proprietario,RCR-CI-L0,255046.23,252561.74,293216.55,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I22000000008
AQ,MONTEREALE,1306605600000069892020,ABRUZZO,Via Niviera - località Ville di Fano Contrada Lonaro,Chiuso,B88I21000980001,,RCR-CI-L0,59804.26,48759.12,41956.24,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000980001
AQ,MONTEREALE,1306605600000013122018,ABRUZZO,Largo Delle Croci,Chiuso,B88I21000280001,Singolo Proprietario,RCR-CI-L0,167845.5,167198.08,164494.57,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000280001
AQ,MONTEREALE,1306605600000032622019,ABRUZZO,VIA UMBRO SABINA-FRAZ. LA VILLA,Chiuso,B88I21001700008,Delegato,RCR-CI-L0,65947.33,63222.28,66408.3,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001700008
AQ,MONTEREALE,1306605600000146892020,ABRUZZO,SS 147 UMBRO SABINA,Aperto,B83E22000590008,Delegato di condominio non registrato,RCR-CI-RES,313216.78,371854.73,258136.24,si,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000590008
AQ,MONTEREALE,1306605600000196752021,ABRUZZO,"Via Comunale, fraz. San Vito",Chiuso,B88I21001310008,Delegato,RCR-CI-RES,815006.31,811827.83,799193.64,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001310008
AQ,MONTEREALE,1306605600000017772018,ABRUZZO,VIA CARISCELLI FRAZIONE MARANA,Chiuso,B89H20000280001,,RCR-CI-L0,29900.06,29768.91,27585.18,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B89H20000280001
AQ,MONTEREALE,1306605600000013972018,ABRUZZO,VIA DEL MULINO,Chiuso,B85C20000660001,,RCR-CI-L0,36940.99,365202.63,36674.21,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B85C20000660001
AQ,MONTEREALE,1306605600000133482020,ABRUZZO,VIA SAN NICOLA- FRAZ. PELLESCRITTA,Chiuso,B83E23000090001,Delegato di condominio non registrato,RCR-CI-L0,46403.16,46403.16,53460.19,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E23000090001
AQ,MONTEREALE,1306605600000143512020,ABRUZZO,via Palombaia frazione Collecalvo,Chiuso,B83E22000730008,Delegato,RCR-CI-L0,259784.77,251439.61,256667.27,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000730008
AQ,MONTEREALE,1306605600000118842020,ABRUZZO,via Gorizia 68 Ville di F D'INNOCENZO IRENE,Chiuso,B88I21001180001,Delegato,RCR-CI-L0,47942.55,49850.82,44786.41,no,104.4085,2195,066056,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001180001
