regione,provincia,comune,rcr_presentate,rcr_approvate,importo_richiesto,importo_concesso,importo_liquidato,cantieri_in_corso,cantieri_chiusi,cod_istat_comune
Marche,Ascoli Piceno,Montedinove,46,36,14439779.82,13586939.279999999,10888079.43,9,26,044034
Marche,Ascoli Piceno,Montefiore dell'Aso,15,11,13403792.34,7318695.1500000004,5952021.0899999999,1,8,044036
Marche,Ascoli Piceno,Montegallo,277,215,129945851.36999999,101876441.00999999,62787839.480000004,81,118,044038
Marche,Ascoli Piceno,Montemonaco,220,176,83860245.739999995,71925130.5,45590968.879999995,64,106,044044
Marche,Ascoli Piceno,Monteprandone,17,15,13108257.780000001,12546316.069999998,5530354.5299999993,8,6,044045
Marche,Ascoli Piceno,Offida,177,134,82399718.370000005,58150791.18,90972398.5,48,80,044054
Marche,Ascoli Piceno,Palmiano,25,23,9389370.9199999999,9114668.1500000004,6675230.3300000001,9,12,044056
Marche,Ascoli Piceno,Ripatransone,17,11,7594714.9400000004,6647606.6799999997,4967782.53,4,6,044063
Marche,Ascoli Piceno,Roccafluvione,151,119,60385307.219999999,43312073.630000003,34735947.75,33,79,044064
Marche,Ascoli Piceno,Rotella,88,71,36056453.499999993,33267706.209999997,27463439.250000004,15,55,044065
Marche,Ascoli Piceno,San Benedetto del Tronto,3,1,1557503.22,540672.24,1307518.3600000001,1,0,044066
Marche,Ascoli Piceno,Spinetoli,22,13,10740324.270000001,5203052.08,3013769.3,3,7,044071
Marche,Ascoli Piceno,Venarotta,124,97,45873801.5,36243872.609999999,28539427.539999999,25,67,044073
Umbria,Perugia,Assisi,18,11,10109334.43,8677451.3099999987,7182973.6999999993,1,9,054001
Umbria,Perugia,Bastia Umbra,7,6,1972159.32,1789823.9699999997,1748430.94,0,6,054002
Umbria,Perugia,Bettona,10,6,1569202.54,1232188,1121631.1100000001,1,5,054003
Umbria,Perugia,Bevagna,67,50,22437748.960000001,16579933.65,12437280.800000001,17,33,054004
Umbria,Perugia,Campello sul Clitunno,50,37,9924181.7400000002,9390169.6899999995,7807247.0499999998,6,29,054005
Umbria,Perugia,Cannara,25,23,8808495.6400000006,7225439.5599999996,5004680.12,8,14,054006
Umbria,Perugia,Cascia,482,407,182465972.26000002,143489853.67000002,94454231.020000011,78,315,054007
Umbria,Perugia,Castel Ritaldi,54,34,19873867.169999998,12310495.430000002,5693578.1699999999,12,19,054008
Umbria,Perugia,Cerreto di Spoleto,86,61,21252208.93,12631986.539999999,9566281.6399999987,11,46,054010
Umbria,Perugia,Città di Castello,3,2,3529437.75,3805437.92,0,0,0,054013
Umbria,Perugia,Collazzone,16,12,7023955.7699999996,4264951.88,3024083.8699999996,5,6,054014
Umbria,Perugia,Costacciaro,3,2,221323.5,123746.18,79631.14,0,1,054016
Umbria,Perugia,Deruta,16,12,8855517.0399999991,6969143.3799999999,6525897.4400000004,2,10,054017
Umbria,Perugia,Foligno,289,202,95547149.370000005,62458572.899999999,42067750.480000004,48,147,054018
Umbria,Perugia,Fossato di Vico,10,8,1278087.19,1072637.05,1000716.74,0,8,054019
Umbria,Perugia,Fratta Todina,9,8,3021904.91,2232296.44,1923206.19,1,7,054020
Umbria,Perugia,Giano dell'Umbria,27,16,21874713.629999999,8261340.5,4699092.7700000005,11,4,054021
Umbria,Perugia,Gualdo Cattaneo,79,44,23898705.25,14936374.34,7304313.8099999996,21,21,054022
Umbria,Perugia,Gualdo Tadino,50,26,11163806.699999999,5714128.5,5057599.01,1,25,054023
Umbria,Perugia,Gubbio,56,32,15639324.32,10218898.49,8779220.120000001,9,22,054024
Umbria,Perugia,Magione,1,0,1118124.4099999999,0,0,0,0,054026
Umbria,Perugia,Marsciano,69,47,28557165.269999996,20806109.73,14040782.450000001,19,27,054027
Umbria,Perugia,Massa Martana,25,18,9109894.4100000001,6026226.0700000003,3395715.0900000003,12,6,054028
Umbria,Perugia,Monte Castello di Vibio,7,6,1897857.5100000002,1385071.3,1234857.74,1,5,054029
Umbria,Perugia,Montefalco,118,74,40190826.269999996,27110469.719999999,16267241.469999999,35,32,054030
Umbria,Perugia,Monteleone di Spoleto,83,69,19118469.690000001,15140364.76,9069518.870000001,16,50,054031
Umbria,Perugia,Nocera Umbra,19,10,3744915.75,3274382.6799999997,2415647.04,3,7,054034
Umbria,Perugia,Norcia,1751,1279,871528769.04000008,618881585.86000001,376680207.00999999,372,872,054035
Umbria,Perugia,Panicale,1,1,205186.36,237368.37,153303.79,0,0,054037
Umbria,Perugia,Passignano sul Trasimeno,1,1,223457.73,217440.95,217440.95,0,1,054038
Umbria,Perugia,Perugia,22,13,8004493.3499999996,5996798.2399999993,4040362.6399999997,8,5,054039
Umbria,Perugia,Piegaro,3,3,1909582.6400000001,1558996.31,1008022.0399999999,2,1,054040
Umbria,Perugia,Poggiodomo,30,21,6411744.0300000003,3556651.79,2523309.21,4,16,054042
Umbria,Perugia,Preci,230,177,103694100.36999999,74307224.290000007,42409829.880000003,60,115,054043
Umbria,Perugia,Sant'Anatolia di Narco,58,28,5440903.3100000005,4532802.6199999992,3247037.41,4,21,054045
Umbria,Perugia,Scheggia e Pascelupo,19,6,2938549.6399999997,621272.24,494418.12,1,5,054046
Umbria,Perugia,Scheggino,22,14,2812004.1,2258711.3600000003,1863827.37,3,10,054047
Umbria,Perugia,Sellano,108,85,20099064.009999998,15728899.779999999,10305397.49,13,65,054048
Umbria,Perugia,Sigillo,3,1,677884.15,261936.36,190432.15,1,0,054049
Umbria,Perugia,Spello,67,56,12268578.050000001,10367725.550000001,7009295.3000000007,6,49,054050
Umbria,Perugia,Spoleto,997,710,381509593.21000004,265968637.77000004,182088098.68000001,227,457,054051
Umbria,Perugia,Todi,61,49,27477273.760000002,24614443.580000002,20036153.350000001,12,36,054052
Umbria,Perugia,Torgiano,4,3,608648.90999999992,352249.23,102552.09,2,1,054053
Umbria,Perugia,Trevi,50,36,10603698.120000001,6027571.6400000006,4335625.5199999996,10,25,054054
Umbria,Perugia,Umbertide,1,0,1017573.75,0,0,0,0,054056
Umbria,Perugia,Valfabbrica,9,5,737222.8,574537.31000000006,452575.66000000003,1,4,054057
Umbria,Perugia,Vallo di Nera,22,15,4548902.91,3736541.07,2302459.5100000002,3,10,054058
Umbria,Perugia,Valtopina,3,2,254525.12,129537.09,129537.09,0,2,054059
Umbria,Terni,Acquasparta,28,11,8279298.5,5611004.3399999999,4024158.9000000004,6,5,055001
Umbria,Terni,Alviano,1,1,30724.91,28144.83,28144.83,0,1,055003
Umbria,Terni,Amelia,19,15,11205708.309999999,10581004.59,8669436.3200000003,3,12,055004
Umbria,Terni,Arrone,36,26,7592371.3300000001,5838628.9499999993,4061883.8100000005,5,21,055005
Umbria,Terni,Baschi,4,2,658657.4,715373.91,163809.37,1,1,055007
Umbria,Terni,Calvi dell'Umbria,5,4,2126644.94,1306510.74,1198798.02,1,3,055008
Umbria,Terni,Castel Giorgio,1,0,0,0,0,0,0,055009
Umbria,Terni,Ferentillo,58,35,15242153.620000001,9900056.9000000004,5576219.8900000006,8,25,055012
Umbria,Terni,Giove,2,2,14019220.07,14424331.880000001,14424331.880000001,0,2,055014
Umbria,Terni,Guardea,3,1,1799912.16,751777.26,36407.57,1,0,055015
Umbria,Terni,Lugnano in Teverina,2,2,2989026.09,2984729.83,367373.6,2,0,055016
Umbria,Terni,Montecastrilli,32,19,13081493.450000001,7948530.9799999995,6286956.1899999995,8,10,055017
Umbria,Terni,Montecchio,2,2,864982.38,798256.18,303981.96999999997,1,1,055018
Umbria,Terni,Montefranco,16,14,952728.76,983560.65,751488.4,2,11,055019
Umbria,Terni,Narni,25,17,6960227.8200000003,5160441.96,4370898.43,2,13,055022
Umbria,Terni,Otricoli,7,4,3884650.74,2941712.23,2431651.1799999997,3,1,055024
Umbria,Terni,Polino,1,0,0,0,0,0,0,055027
Umbria,Terni,San Gemini,1,1,1326585.26,878275.24,687297.56,1,0,055029
Umbria,Terni,San Venanzo,7,5,1790450,1572732.1,1531467.2000000002,0,5,055030
Umbria,Terni,Stroncone,2,1,977062.40000000002,1375373.2,1375373.2,0,1,055031
Umbria,Terni,Terni,55,44,23298041.719999999,13646117.190000001,8385705.4199999999,18,25,055032
Umbria,Terni,Avigliano Umbro,21,14,4200923.0600000005,2959149.61,2807166.74,1,13,055033
Lazio,Viterbo,Orte,1,1,62503.77,58822.75,57515.94,0,1,056042
Lazio,Rieti,Accumoli,331,207,294717620.07999998,172015360.78999999,74320702.530000001,130,57,057001
Lazio,Rieti,Amatrice,1486,820,1262265939.3900001,655878614.61000001,366852631.59999996,410,347,057002
Lazio,Rieti,Antrodoco,169,122,68583246.75999999,42297250.93,25190287.370000001,28,87,057003
Lazio,Rieti,Belmonte in Sabina,3,1,149902.75,184175.91,184175.91,0,1,057005
Lazio,Rieti,Borbona,125,79,47176723.25,28512082.299999997,18439847.170000002,20,53,057006
Lazio,Rieti,Borgo Velino,37,23,9879032.6600000001,6255005.3700000001,3655146.83,4,18,057008
Lazio,Rieti,Cantalice,55,32,14107206.85,6599868.8199999994,4625906.05,13,20,057009
Lazio,Rieti,Cantalupo in Sabina,4,3,8420759.9299999997,4929365.13,3137189.03,3,0,057010
Lazio,Rieti,Casaprota,1,1,33137.120000000003,32115.65,30545.01,0,1,057011
Lazio,Rieti,Casperia,3,1,352729.25,69162.080000000002,69162.080000000002,0,1,057012
Lazio,Rieti,Castelnuovo di Farfa,3,2,527174.89999999991,378918.63,304577.57,1,1,057014
Lazio,Rieti,Castel Sant'Angelo,56,39,10900501.460000001,7455637.7399999993,4346971.5199999996,12,26,057015
Lazio,Rieti,Cittaducale,109,79,63527973.419999994,38747717.269999996,25972392.559999999,20,56,057016
Lazio,Rieti,Cittareale,195,137,83375148.239999995,46912912.530000009,23676845.049999997,56,71,057017
Lazio,Rieti,Collevecchio,16,5,7591461.2399999993,3507776.9,2250365.35,3,2,057021
Lazio,Rieti,Colli sul Velino,2,1,503789.49,503789.49,214812.76,1,0,057022
Lazio,Rieti,Concerviano,7,4,899032.42,641461.65999999992,559965.38,0,3,057023
Lazio,Rieti,Contigliano,9,8,4669120.1399999997,4132714.84,3558100.9499999997,2,6,057025
Lazio,Rieti,Cottanello,5,4,3223632.59,2606081.39,2315110.9700000002,1,3,057026
Lazio,Rieti,Fara in Sabina,1,0,102724.59,0,0,0,0,057027
Lazio,Rieti,Fiamignano,18,14,3297857.4299999997,2915355.74,1630716.9,1,11,057028
Lazio,Rieti,Forano,11,2,4952993.8000000007,376252.92,329620.40000000002,1,1,057029
Lazio,Rieti,Greccio,8,7,3886854.54,1922231.6,937265.13,3,4,057031
Lazio,Rieti,Leonessa,530,364,204028688.81,142560496.47,77122475.390000001,91,258,057033
Lazio,Rieti,Magliano Sabina,5,4,576850.06000000006,558896.31000000006,369140.32,0,4,057035
Lazio,Rieti,Marcetelli,12,11,829817.02,734138.12,458771.6,2,8,057036
Lazio,Rieti,Micigliano,17,13,4296072.58,2131803.94,654957.44999999995,6,4,057037
Lazio,Rieti,Mompeo,1,1,213888.01,141690.62,141690.62,0,1,057038
Lazio,Rieti,Montasola,1,1,656628.51,474503.96,375474.59,1,0,057039
Lazio,Rieti,Montebuono,3,1,1574722.77,98014.76,-9064.8099999999977,1,1,057040
Lazio,Rieti,Monteleone Sabino,1,0,40716.160000000003,0,0,0,0,057041
Lazio,Rieti,Monte San Giovanni in Sabina,5,4,2585406.19,1413813.03,414868.32999999996,1,3,057043
Lazio,Rieti,Montopoli in Sabina,2,0,0,0,0,0,0,057044
Lazio,Rieti,Morro Reatino,1,1,1697307.52,1258846.17,1101107.1299999999,0,1,057045
Lazio,Rieti,Nespolo,1,0,49635.78,0,0,0,0,057046
Lazio,Rieti,Pescorocchiano,7,4,461946.72,254140.89,254140.88,0,4,057049
Lazio,Rieti,Petrella Salto,8,6,4201220.3600000003,2006127.08,653720.87000000011,3,2,057050
Lazio,Rieti,Poggio Bustone,27,17,9000844.3099999987,3694914.6100000003,2941788.18,3,14,057051
Lazio,Rieti,Poggio Catino,1,1,170702.62,166801.32999999999,114783.6,1,0,057052
Lazio,Rieti,Poggio Mirteto,5,3,271410.09999999998,221270.29,137313.87,1,2,057053
Lazio,Rieti,Poggio Moiano,7,4,882018.84000000008,838733.81,495903.4,1,3,057054
Lazio,Rieti,Poggio Nativo,4,1,1724669.26,44956.76,44956.76,0,1,057055
Lazio,Rieti,Posta,160,101,38198529.619999997,20159736.400000002,10396438.810000001,22,73,057057
Lazio,Rieti,Rieti,327,209,239042096.92000002,137642574.81999999,72180414.830000013,76,124,057059
Lazio,Rieti,Rivodutri,17,9,2558157.75,1590956.0899999999,579513.33000000007,2,6,057060
Lazio,Rieti,Roccantica,3,2,379783.71,346422.26999999996,43424.979999999996,1,1,057061
Lazio,Rieti,Rocca Sinibalda,4,2,1878182.17,1373549.85,89579,1,1,057062
Lazio,Rieti,Salisano,3,3,956307,868941.59000000008,762857.12,0,3,057063
Lazio,Rieti,Selci,1,1,35717.58,32223.61,31498.78,0,1,057065
Lazio,Rieti,Tarano,9,8,2268925.92,2588442.65,2280915.29,1,7,057067
Lazio,Rieti,Torricella in Sabina,1,1,71105.77,34324.239999999998,34324.230000000003,0,1,057069
Lazio,Rieti,Torri in Sabina,5,3,3620964.58,2743898.43,1907581.6,1,2,057070
Lazio,Rieti,Vacone,2,2,1200315.58,850022.45,46574.57,2,0,057072
Lazio,Rieti,Varco Sabino,1,1,247716.58,247716.58,0,1,0,057073
Lazio,Roma,Filacciano,2,2,1318555.29,1236347.92,1103940.28,0,2,058037
Abruzzo,L'Aquila,Acciano,1,0,782545.93,0,0,0,0,066001
Abruzzo,L'Aquila,Anversa degli Abruzzi,16,1,2452959.44,61677.17,61211.02,0,1,066004
Abruzzo,L'Aquila,Barete,20,11,1717768.48,1247945.6000000001,943674.47,1,9,066008
Abruzzo,L'Aquila,Barisciano,2,0,527045.11,0,0,0,0,066009
Abruzzo,L'Aquila,Cagnano Amiterno,54,25,8343413.9000000004,6292014.9800000004,3863098.21,4,14,066013
Abruzzo,L'Aquila,Calascio,14,9,2036928.94,891628.89,651409.92000000004,2,6,066014
Abruzzo,L'Aquila,Campotosto,115,49,27842006.02,14220127.879999999,6996998.8300000001,17,28,066016
Abruzzo,L'Aquila,Cansano,4,2,134534.44,133931.53,95966.43,0,2,066018
Abruzzo,L'Aquila,Capestrano,8,3,6094417.3299999991,1664829.1300000001,690940.43,1,1,066019
Abruzzo,L'Aquila,Capitignano,237,148,36126503.299999997,24337537.68,14836703.1,32,107,066021
Abruzzo,L'Aquila,Castel del Monte,6,2,2699705.6399999997,251730.63,170488.51,1,1,066026
Abruzzo,L'Aquila,Castel di Ieri,1,1,58373.73,58057.22,66191.77,0,1,066027
Abruzzo,L'Aquila,Castelvecchio Calvisio,1,0,0,0,0,0,0,066030
Abruzzo,L'Aquila,Castelvecchio Subequo,4,1,535797.48,77330.820000000007,92971.08,0,1,066031
Abruzzo,L'Aquila,Civitella Roveto,1,1,146317.95000000001,145071.09,162969.98000000001,0,1,066036
