cup,cig,oggetto_gara,data_pubblicazione_gara,tipo_scelta_contraente,ente,aggiudicatario,cf_aggiudicatario,importo_base_asta,importo_aggiudicazione
B12E20000160001,B3357F7FD2,"AFFIDAMENTO DEI SERVIZI DI REDAZIONE DELLA VERIFICA DI COMPATIBILITu00C0 IDRAULICA, INDAGINI GEOLOGICHE, GEOTECNICHE, SISMICHE -NUOVO PLESSO SCOLASTICO",2024-09-30,AFFIDAMENTO DIRETTO,,,,38523.36,38523.36
B12E20000160001,ZA53BE109C,"RILIEVO PLANO-ALTIMETRICO, COMPRENSIVO DI SEZIONI PER LA VERIFICA DI COMPATIBILITu00C0 IDRAULICA PER REALIZZAZIONE NUOVO PLESSO SCOLASTICO",2023-07-13,AFFIDAMENTO DIRETTO,,,,4055.0,
B12J20001210001,8593387F46,INTERVENTO DI DEMOLIZIONE E RICOSTRUZIONE EDIFICIO IN VIA ORAZI 10 NEL COMUNE DI CAMERINO (MC). PROGETTAZIONE DEFINITIVO-ESECUTIVA,2021-02-11,AFFIDAMENTO DIRETTO,,ANNESSI LEONARDO,****************,70349.66,50567.36
B12J20001210001,Z093161949,REDAZIONE DELLA RELAZIONE GEOLOGICA PER L?INTERVENTO DI DEMOLIZIONE CON RICOSTRUZIONE DELL?EDIFICIO SITO IN VIA ORAZI 10 NEL COMUNE DI CAMERINO (MC),2021-04-15,AFFIDAMENTO DIRETTO,,,,4851.39,
B12J20001210001,ZE131619A8,INDAGINE GEOGNOSTICA PER L?INTERVENTO DI DEMOLIZIONE CON RICOSTRUZIONE DELL?EDIFICIO SITO IN VIA ORAZI 10 NEL COMUNE DI CAMERINO (MC),2021-04-15,AFFIDAMENTO DIRETTO,,,,7812.39,
B13B19000290001,B9CFC9B15E,SISMA 2016 - REALIZZAZIONE AREA CAMPER GELAGNA ALTA INCARICO SORVEGLIANZA ARCHEOLOGICA,2025-12-29,AFFIDAMENTO DIRETTO,,MENICHINI MARCO,03160720540,2500.0,2500.0
B13B19000290001,Z5A33A9388,"AFFIDAMENTO INCARICO PER LA PROGETTAZIONE DEFINITIVA/ESECUTIVA DEGLI IMPIANTI DI P.ILLUMINAZIONE, IDRICO, FOGNA, ANTIINCENDIO - SISMA 2016 AREA CAMPER GELAGNA ALTA",2021-10-28,AFFIDAMENTO DIRETTO,,,,1500.0,
B13B19000290001,Z702B786E1,"REALIZZAZIONE AREA CAMPER GELAGNA ALTA (O.C.S.R. N.77/19- DECRETO C.S.R. 444/19 ) - AFFIDAMENTO INCARICO DI PROGETTAZIONE PRELIMINARE, DEFINITIVA, ESECUTIVA, D.L. CONTABILITA' E COORDINAMENTO SICUREZZA",2020-01-08,AFFIDAMENTO DIRETTO,,,,14879.58,
B13B19000290001,ZC62DC7821,AFFIDAMENTO INCARICO DI REDAZIONE INDAGINI GEOLOGICHE E GEOFISICHE AREA CAMPER GELAGNA ALTA,2020-07-24,AFFIDAMENTO DIRETTO,,,,4860.65,
B13B19000290001,ZD8326F246,PROGETTAZIONE STRUTTURALE RELATIVA ALLA REALIZZAZIONE DELLA NUOVA AREA CAMPER IN LOCALITA' GELAGNA ALTA,2021-07-12,AFFIDAMENTO DIRETTO,,,,740.32,
B13B20000180001,Z7E3492A09,"AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA RELATIVI ALLA PROGETTAZIONE PRELIMINARE, DEFINITIVA ED ESECUTIVA, CON RISERVA DI AFFIDAMENTO DEI SERVIZI DI DIREZIONE LAVORI, CONTABILITÀ, INERENTI L'INTERVENTO DI : SISMA2016 ? LAVORI DI RIPARAZIONE DANNI EDIFICIO RESIDENZIALE A GESTIONE ERAP",2021-12-23,AFFIDAMENTO DIRETTO,,,,27965.38,
B13B20000180001,ZB234942D6,AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA RELATIVI AL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE INERENTI L'INTERVENTO DI : SISMA2016 ? LAVORI DI RIPARAZIONE DANNI EDIFICIO RESIDENZIALE A GESTIONE ERAP.,2021-12-23,AFFIDAMENTO DIRETTO,,,,6531.96,
B13B20000190001,903983215C,"AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA RELATIVI ALLA PROGETTAZIONE PRELIMINARE, DEFINITIVA ED ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE, CON RISERVA DI AFFIDAMENTO DEI SERVIZI DI DIREZIONE LAVORI, CONTABILITu00C0 E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE INERENTI L'INTERVENTO DI : SISMA2016 - LAVORI DI RIPARAZIONE DANNI EDIFICIO DENOMINATO 'EX COLLEGIO'.",2021-12-22,AFFIDAMENTO DIRETTO,,,,54372.84,
B13F21000070001,Z833490525,AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA RELATIVI AL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE INERENTI L'INTERVENTO DI : ?SISMA2016 ? LAVORI DI RIPARAZIONE DANNI EDIFICIO DENOMINATO EX SCUOLA DIGNANO?,2021-12-22,AFFIDAMENTO DIRETTO,,,,4344.33,
B13F21000070001,ZC2349008E,"AFFIDAMENTO DEI SERVIZI TECNICI DI INGEGNERIA E ARCHITETTURA RELATIVI ALLA PROGETTAZIONE PRELIMINARE, DEFINITIVA ED ESECUTIVA,  CON RISERVA DI AFFIDAMENTO DEI SERVIZI DI DIREZIONE LAVORI, CONTABILITÀ, INERENTI L'INTERVENTO DI : ?SISMA2016 ? LAVORI DI RIPARAZIONE DANNI EDIFICIO DENOMINATO EX SCUOLA DIGNANO?",2021-12-22,AFFIDAMENTO DIRETTO,,,,35623.48,
B13H18000270001,Z262CDA5BB,INCARICO DI COLLAUDO STATICO,2020-04-30,AFFIDAMENTO DIRETTO,,,,580.0,
B13H18000270001,Z692CEE3D0,LAVORI DI COSTRUZIONE DI UN PREFABBRICATO A SERVIZIO DELLA COMUNITÀ DI SERRAVALLE DI CHIENTI,2020-05-08,AFFIDAMENTO DIRETTO,,,,32000.0,
B13H18000270001,ZB925BA580,"SERVIZIO DI PROGETTAZIONE STRUTTURALE, DIREZIONE LAVORI E COORDINAMENTO SICUREZZA COSTRUZIONE STRUTTURA A VALENZA SOCIALE",2018-11-13,AFFIDAMENTO DIRETTO,,,,930.0,
B13H18000270001,ZD325A1989,AFFIDAMENTO INDAGINE RELAZIONE GEOLOGICA PER LA COSTRUZIONE DI UN PREFABBRICATO A SERVIZIO SERVIZIO DELLA COMUNITA DI SERRAVALLE.,2018-11-06,AFFIDAMENTO DIRETTO,,,,695.0,
B14F18000370002,8380789DDB,ADEGUAMENTO AL VOLO NOTTURNO DI ELISUPERFICIE ESISTENTE IN LOCALITA' TAVERNE - ORDINANZA DEL COMMISSARIO STRAORDINARIO RICOSTRUZIONE SISMA 2016 N.48 DEL 11/01/2018,2020-07-22,AFFIDAMENTO DIRETTO,,,,62525.11,
B14F18000370002,8427709D77,ADEGUAMENTO AL VOLO NOTTURNO DI ELISUPERFICIE ESISTENTE IN LOCALITA' TAVERNE - ORDINANZA DEL COMMISSARIO STRAORDINARIO RICOSTRUZIONE SISMA 2016 N.48 DEL 11/01/2018,2020-09-08,AFFIDAMENTO DIRETTO,,,,62525.11,
B14F18000370002,Z20290055A,"SERVIZIO DI PROGETTAZIONE DEFINITIVA/ESECUTIVA,CONTABILITÀ,DIREZIONE LAVORI PER I LAVORI DI ADEGUAMENTO AL VOLO NOTTURNO DI ELISUPERFICIE ESISTENTE IN LOCALITA' TAVERNE",2019-06-27,AFFIDAMENTO DIRETTO,,,,7000.0,
B14F18000370002,Z63335D146,FORNITURA TARGA DA POSIZIONARE SULL'ELISUPERFICE,2021-10-07,AFFIDAMENTO DIRETTO,,,,130.0,
B14J18000380005,8631330ED4,SISMA 2016 - RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO EDIFICIO EX SCUOLA FRAZIONE CESI-,2021-03-11,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,CECCARELLI ENZO,03085780546,203225.58,148115.54
B14J18000380005,9707793436,VARIANTE N.1 CIG: 8631330ED4 - SISMA 2016. LAVORI DI RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO EDIFICIO EX SCUOLA FRAZIONE CESI,2023-01-30,AFFIDAMENTO DIRETTO,,,,40891.49,
B14J18000380005,ZE220EE045,"SISMA 2016 ? RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO EDIFICIO EX SCUOLA FRAZIONE CESI NEL COMUNE DI SERRAVALLE DI CHIENTI - AFFIDAMENTO SERVIZI DI PROGETTAZIONE DEFINITIVA ED ESECUTIVA, DIREZIONE LAVORI, CONTABILITÀ E LIQUIDAZIONE, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE DEI LAVORI, VERIFICA E COLLAUDO",2017-11-23,AFFIDAMENTO DIRETTO,,,,27000.0,
B14J18000390001,86549567A1,SISMA 2016 - RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO EDFICIO EX SCUOLA FRAZIONE BAVARETO,2021-04-01,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,EUROBUILDING S.P.A.,01531770442,176677.14,192260.86
B16H20000000001,ZB93BA3F92,"PROGETTAZIONE PRELIMINARE, DEFINITIVA /ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE, DIREZIONE LAVORI, CONTABILITÀ E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE, CERTIFICATO DI REGOLARE,",2023-06-21,AFFIDAMENTO DIRETTO,,,,8259.25,
B16I17000000002,Z1120ECB3C,"AFFIDAMENTO SERVIZI TECNICI DI INGEGNERIA ED ARCHITETTURA PER LA PROGETTAZIONE, DIREZIONE LAVORI, MISURA E CONTABILITÀ, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE E CERTIFICAZIONE REGOLARE ESECUZIONE RIGUARDANTE I LAVORI DI RIPARAZIONE, RIPRISTINO E MIGLIORAMENTO SISMICO CHIESA ?MADONNA DI LORETO?",2017-11-23,AFFIDAMENTO DIRETTO,,,,18750.0,
B16I17000000002,Z1621082DA,"AFFIDAMENTO SERVIZI TECNICI DI INGEGNERIA ED ARCHITETTURA PER LA REDAZIONE DI RELAZIONE GEOLOGICA DI SUPPORTO ALLA PROGETTAZIONE ESECUTIVA DEI LAVORI DI RIPARAZIONE, RIPRISTINO E MIGLIORAMENTO SISMICO CHIESA ?MADONNA DI LORETO?",2017-11-29,AFFIDAMENTO DIRETTO,,,,2100.0,
B16I17000000002,Z1E242F2D7,"AFFIDAMENTO ELABORAZIONE RELAZIONE TECNICA SUGLI APPARATI DECORATIVI PRESENTI ALL?INTERNO DELLA CHIESA ?MADONNA DI LORETO?, INERENTE AI ?LAVORI DI RIPARAZIONE, RIPRISTINO E MIGLIORAMENTO SISMICO CHIESA - MADONNA DI LORETO?",2018-06-28,AFFIDAMENTO DIRETTO,,,,400.0,
B16I17000000002,Z7323FC955,"AFFIDAMENTO REDAZIONE DELLE INDAGINI GEOGNOSTICI SUI TERRENI DI FONDAZIONE DELLA CHIESA MADONNA DI LORETO, CONSISTE NELLA PROVA PENETROMETRICA DINAMICA SUPER-PESANTE (DPSH) OLTRE ALLA MISURAZIONE PASSIVA HVSR, INERENTE AI ?LAVORI DI RIPARAZIONE, RIPRISTINO E MIGLIORAMENTO SISMICO CHIESA - MADONNA DI LORETO?",2018-06-13,AFFIDAMENTO DIRETTO,,,,550.0,
B16I17000000002,ZA02E1A44E,"SISMA 2016: AFFIDAMENTO REDAZIONE C.I.R. LAVORI DI RIPARAZIONE, RIPRISTINO E MIGLIORAMENTO SISMICO CHIESA -MADONNA DI LORETO.",2020-08-31,AFFIDAMENTO DIRETTO,,,,750.0,
B16J21000000001,A00574A951,"INCARICO DEI SERVIZI DI PROGETTAZIONE DI FATTIBILITA' TECNICO ECONOMICA ED ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE CON RISERVA DI AFFIDAMENTO DELLA DIREZIONE LAVORI, CONTABILITA', E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE - RIPARAZIONE DANNI EX SCUOLA COPOGNA",2023-08-17,AFFIDAMENTO DIRETTO,,,,55629.31,
B16J21000000001,A014ABF18B,"AFFIDAMENTO DIRETTO AI SENSI DELLARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023, DEI SERVIZI DI PROGETTAZIONE DI FATTIBILITA TECNICO ECONOMICA ED ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE CON RISERVA DI AFFIDAMENTO DELLA DIREZIONE LAVORI, CONTABILITA, E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE AVENTE AD OGGETTO: SISMA 2016 - RIPARAZIONE DANNI EDIFICIO EX SCUOLA COPOGNA AD USO CIRCOLO RICREATIVO.",2023-09-29,AFFIDAMENTO DIRETTO,,,,55629.31,
B17H18005890001,BC14A639E9,"AFFIDAMENTO DIRETTO AI SENSI DELLARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023 DEL SERVIZIO DI VERIFICA DELLA PROGETTAZIONE DI FATTIBILITA TECNICA-ECONOMICA ED ESECUTIVA DELLOPERA: SISMA 2016_RIPRISTINO MURO DI CONTENIMENTO STRADA PRINCIPALE DI VIA PLESTIA/VIA PIAVE.",2026-06-18,AFFIDAMENTO DIRETTO,,,,7555.26,7555.26
B17H18005890001,ZBF3C350FA,"INCARICO DI PROGETTAZIONE DI FATTIBILITA' TECNICA - ECONOMICA,ESECUTIVA, CON RISERVA DI DIREZIONE LAVORI, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE - RIPRISTINO MURO DI CONTENIMENTO STRADA PRINCIPALE DI VIA PLESTIA/VIA PIAVE",2023-08-17,AFFIDAMENTO DIRETTO,,,,37997.23,
B22C21001130001,97277243CB,"INCARICO PROFESSIONALE DI PROGETTAZIONE, DIREZIONE LAVORI E COORDINAMENTO SICUREZZA INTERVENTO CHIESA MADONNA DELLA BIANCA",2023-03-21,AFFIDAMENTO DIRETTO,,,,52818.17,
B22C21001140001,9726205E43,INCARICO PROFESSIONALE DI PROGETTAZIONE. DIREZIONE LAVORI E COORDINAMENTO SICUREZZA INTERVENTO MURA CASTELLO DI PISSIGNANO ALTO,2023-03-21,AFFIDAMENTO DIRETTO,,,,58483.76,
B22C21001140001,9727731990,INCARICO PROFESSIONALE PER RELAZIONE GEOTECNICA E GEOLOGICA INTERVENTO MURA CASTELLO DI PISSIGNANO ALTO,2023-03-21,AFFIDAMENTO DIRETTO,,,,8584.77,
B22C21001140001,BAC27C0A40,AFFIDAMENTO INCARICO DI SORVEGLIANZA ARCHEOLOGICA,2026-03-09,AFFIDAMENTO DIRETTO,,ARCHEOTECH STUDIO ASS.TO DI ARCHEOLOGIA,02844570545,300.0,300.0
B22C21001140001,BB3925A0CF,"PROCEDURA NEGOZIATA SENZA BANDO EX ART. 50, CO. 1, LETT.C) D.LGS. 36/2023 PER L'AFFIDAMENTO DELL'INTERVENTO DI RIPARAZIONE E MESSA IN SICUREZZA DELLE MURA CASTELLANE DEL CASTELLO DI PISSIGNANO ALTO OC 129/2022. CUP: B22C21001140001",2026-04-13,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,,459872.54,
B22E20000010001,B10570E8EB,SERVIZIO DI VERIFICA STRUTTURALE OPERE DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2024-03-27,AFFIDAMENTO DIRETTO,,LUPI JONATHAN,02317980445,4999.0,4999.0
B22E20000010001,B10D3AF1C4,SERVIZIO DI VERIFICA STRUTTURALE OPERE DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2024-03-29,AFFIDAMENTO DIRETTO,,LUPI JONATHAN,02317980445,4999.0,4999.0
B22E20000010001,B27BFF47F5,FORNITURA DI MONOBLOCCO ACCOPP. COIBENTATO DIM.1027X618X307H EST.H.INT.271 - DELOCALIZZAZIONE ASILO NIDO BIANCONIGLIO,2024-07-17,AFFIDAMENTO DIRETTO,,,,36596.39,36596.39
B22E20000010001,B40D3E0B0F,AFFIDAMENTO SERVIZIO ASSISTENZA ARCHEOLOGICA - SISMA 2016 - O.C.S.R. 109-2020 E O.C.S.R. SPECIALE 31-2021 - LAVORI DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2024-10-29,AFFIDAMENTO DIRETTO,,,,0.0,
B22E20000010001,B40D445E67,SERVIZIO DI ASSISTENZA AGLI SCAVI ARCHEOLOGICI - SISMA 2016 - O.C.S.R. 109-2020 E O.C.S.R. SPECIALE 31-2021 - LAVORI DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2024-10-29,AFFIDAMENTO DIRETTO,,DE CESARE                SERENA,02014680447,800.0,800.0
B22E20000010001,B54269E958,AFFIDAMENTO LAVORI SISMA 2016 - O.C.S.R. 109-2020 E O.C.S.R. SPECIALE 31-2021 - LAVORIDI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO ID 982.,2025-01-21,ALTRA PROCEDURA A FASE UNICA,,,,374878.17,374878.17
B22E20000010001,B5484964FD,AFFIDAMENTO DEL SERVIZIO DI DIREZIONE LAVORI CONTABILITA ED IL COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE - SISMA 2016 - O.C.S.R. 109-2020 E O.C.S.R. SPECIALE 31-2021 - LAVORI DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2025-01-22,AFFIDAMENTO DIRETTO,,,,22500.0,22500.0
B22E20000010001,B54856B4C3,SERVIZIO DI COLLAUDATORE STATICO - SISMA 2016 - O.C.S.R. 109-2020 E O.C.S.R. SPECIALE 31-2021 - LAVORI DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO,2025-01-21,AFFIDAMENTO DIRETTO,,BERRETTAROSSA DENIS,02075150447,3300.0,3300.0
B22E20000010001,BA96658B9E,LAVORI DI RIPARAZIONE DANNI MIGLIORAMENTO SISMICO E EFFICIENTAMENTO ENERGETICO ASILO NIDO BIANCONIGLIO - CUP B22E20000010001 - AFFIDAMENTO DEL SERVIZIO PER LA REDAZIONE DELL'ATTESTATO DI PRESTAZIONE ENERGETICA.,2026-02-25,AFFIDAMENTO DIRETTO,,LEVANTESI FRANCESCO,****************,700.0,700.0
B22J18000130002,839078245A,PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DEI SERVIZI DI PROGETTAZIONE DEFINITIVA E ESECUTIVA COMPRESA LA RELAZIONE GEOLOGICA ED IL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E (COME OPZIONE) L'INCARICO DI DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE INERENTE I LAVORI DI ADEGUAMENTO SISMICO DELLA PALESTRA SCOLASTICA IN VALTOPINA (PG),2020-08-18,PROCEDURA RISTRETTA,,,,88471.82,
B22J18000130002,B76EC95B97,SISMA 2016. ORDINANZA N. 109 DEL 23 DICEMBRE 2020. LAVORI DI ADEGUAMENTO SISMICO DELLA PALESTRA SCOLASTICA IN VALTOPINA,2025-06-26,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,,430263.73,385324.0
B22J18000130002,BBB423E536,INCARICO DI COLLAUDO STATICO DELL'INTERVENTO DI ADEGUAMENTO SISMICO DELLA PALESTRA SCOLASTICA DI VALTOPINA - CUP: B22J18000130002. AFFIDAMENTO DIRETTO AI SENSI DELL'ARTICOLO 50 COMMA 1 LETT. B) DEL DLGS. 36/2023,2026-05-20,AFFIDAMENTO DIRETTO,,,,6500.33,6500.33
B23B20000200001,8593454693,INTERVENTO DI MIGLIORAMENTO STRUTTURALE EDIFICIO IN VIA NENNI 1 DEL COMUNE DI TOLENTINO (MC). PROGETTAZIONE DEFINITIVO-ESECUTIVA,2021-01-21,AFFIDAMENTO DIRETTO,,CARBONI FEDERICO,****************,43957.35,27816.21
B23B20000200001,A02F2D69DB,O.C.S.R. 109/2020. SERVIZIO TECNICO DI SUPPORTO AL R.U.P. PER LA VERIFICA DEI PROGETTI ESECUTIVI DEGLI INTERVENTI FINANZIATI AL SOGGETTO ATTUATORE ERAP - PRESIDIO DI MACERATA.,2023-11-21,AFFIDAMENTO DIRETTO,,,,21395.35,
B23B20000200001,B5B9458414,"O.C.S.R. 109/2020. SERVIZIO TECNICO DI PROGETTAZIONE DI FATTIBILITu00C0 TECNICA ED ECONOMICA, ESECUTIVA, C.S.P. E DIREZIONE DEI LAVORI DEI LAVORI DI MANUTENZIONE STRAORDINARIA PER IL RIPRISTINO E RAFFORZAMENTO LOCALE POST SISMA 2016 DELL'EDIFICIO E.R.P. SITO IN VIA P. NENNI N. 1 NEL COMUNE DI TOLENTINO (MC)",2025-02-21,AFFIDAMENTO DIRETTO,,GAGLIARDINI LUCA,****************,119128.36,119128.36
