cup,anno,importo_pagato
B76C19000120001,2025,92865.59
B78B17000140001,2020,36065.16
B78E18000190001,2019,7405.93
B78E18000190001,2020,299645.44
B78E18000190001,2021,165440.0
B78E19000000001,2019,9841.37
B78E19000000001,2021,4821.44
B78E19000000001,2022,38980.82
B78E19000000001,2024,10116.55
B78E19000000001,2025,4200.0
B78E19000020002,2020,14026.1
B78E19000020002,2021,12189.48
B78E19000020002,2022,26137.27
B78E19000020002,2024,5441.61
B78E19000020002,2025,325919.56
B79C18000100001,2019,2537.6
B79C18000100001,2021,6090.24
B81D18000060001,2019,47013.9
B81D18000060001,2020,47878.33
B82E20000160001,2020,8448.23
B82E20000160001,2022,14020.75
B82E20000160001,2023,11346.0
B82E20000160001,2024,199008.84
B82E20000160001,2025,1773543.96
B82E20000160001,2026,542165.95
B83B20000260001,2025,134391.46
B83B20000260001,2026,120766.39
B83B20000270001,2021,3271.13
B83B20000270001,2025,8164.26
B83B20000280001,2024,57857.03
B83B20000290001,2025,36661.57
B83B20000290001,2026,407892.93
B87B23000060002,2025,16420.96
B87D23000030002,2024,110454.94
B87D23000030002,2025,107548.42
B91B18000780001,2024,2078.53
B91B20000880005,2021,1345.12
B91B20000880005,2022,206992.61
B91B20000880005,2023,383399.87
B91B20000880005,2024,127635.69
B91B20000880005,2025,240441.29
B91B20000880005,2026,93646.77
B91B21000370005,2023,60160.6
B91B21000370005,2024,113831.38
B91D20001040008,2021,8841.73
B91D20001040008,2023,1039.99
B91D20001040008,2024,40289.72
B92C21001190001,2024,18283.39
B92C21001190001,2025,506.1
B92E20000080001,2022,82359.64
B92E20000080001,2023,98339.85
B92E20000080001,2024,1788.0
B93D18000750001,2020,63352.9
B93D18000750001,2021,20015.18
B93D18000750001,2022,217159.77
B93H19001180004,2020,120424.1
B93I21000120001,2023,962.28
B93I21000120001,2024,47657.76
B93I21000120001,2025,34673.01
B95E17000010003,2018,18084.14
B95E17000010003,2019,10556.68
B95E17000010003,2021,1050.0
B95E17000010003,2022,72336.56
B95E17000010003,2023,564623.02
B95E17000010003,2024,1113155.16
B95E17000010003,2025,197787.64
B95E17000010003,2026,272263.29
B95F21000910001,2024,1220.31
B95F21000910001,2025,162.0
B95F21000920001,2024,1493.65
B95F21000960001,2024,32025.94
B95F21000960001,2026,29929.0
B95H19000010002,2020,92386.59
B96F21000040001,2024,2595.81
B96H17000010001,2019,65140.95
B96H17000010001,2020,141298.94
B96H17000010001,2021,11637.0
B96H17000020001,2019,50012.68
B96H17000020001,2020,161517.21
B96H17000040001,2019,2200.0
B96H17000040001,2020,234341.52
B96H17000040001,2021,80906.12
B96H17000040001,2022,67191.61
B96H17000040001,2024,10258.32
B96H17000050005,2021,39211.36
B96H17000050005,2022,485664.47
B96H17000050005,2023,95301.74
B96H17000050005,2025,15225.6
B97F18000200001,2020,30495.79
B97F18000200001,2021,27559.8
B97F18000200001,2022,135947.44
B97F18000200001,2023,147325.49
B97F18000200001,2024,57773.27
B97F18000200001,2025,96373.18
B97F18000200001,2026,84434.4
B97F18000210002,2020,102993.87
B97F18000210002,2021,333238.2
B97F18000210002,2022,203767.93
B97G21000130001,2023,24041.3
B97G21000130001,2024,40165.39
B97G21000130001,2025,5902.99
B97G21000140001,2024,20938.51
B97G21000140001,2025,38712.59
B97G21000150001,2024,492.28
B97G21000160001,2024,3634.93
B97G21000160001,2025,602.0
B97H22004040001,2024,23525.3
B97H22004040001,2025,14023.99
B98C18000050005,2019,7919.58
B98I21001050001,2023,4882.5
B98I21001050001,2024,95862.58
B99B18000220001,2020,1977.71
B99B18000220001,2021,52132.45
B99B18000220001,2022,124896.17
C13D21002710005,2024,6344.0
C13D21002750005,2024,13820.29
C13D21003230005,2024,16434.14
C14B19000260005,2019,946.27
C14B19000260005,2020,115341.1
C14B19000260005,2021,150192.77
C14B19000260005,2024,100128.79
C14F18000000001,2020,31271.05
C14F18000000001,2021,41023.23
C14F18000000001,2022,36404.7
C16J17000010001,2018,44038.8
C16J17000010001,2019,53593.64
C16J17000010001,2021,5726.73
