Struttura - Comune,Struttura - Indirizzo,Struttura -Civico,Struttura - Destinazione,Condizione materiale,Stato conservazione,Tipo supporto,Superfice esposta,Quantità KG,Quantità m2,Quantità m3
ABBIATEGRASSO,VIA MONTELLO,16,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",150,2500,,
ABBIATEGRASSO,VIA LAMARMORA,22,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",30,600,,
ABBIATEGRASSO,VIA SABOTINO,28,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",12,,12,
ABBIATEGRASSO,VIALE SFORZA,152,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,100,,
ABBIATEGRASSO,VIA MONTE GRAPPA,10,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",140,,140,
ABBIATEGRASSO,VIA VERCESI,6,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",90,1800,,
ABBIATEGRASSO,VIA MENDOSIO,12,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",900,16000,,
ABBIATEGRASSO,VIA PAOLO VI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",50,900,,
ABBIATEGRASSO,VIA PORTA,2,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",20,400,,
ABBIATEGRASSO,CASCINA CRIVELLA,SN,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",500,,500,
ABBIATEGRASSO,VIA PASUBIO,7,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",140,,140,
ABBIATEGRASSO,VIA LEONARDO DA VINCI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",3000,45000,,
ABBIATEGRASSO,STRADA PER COSTERNO,SN,ALTRO,NON FRIABILE,DANNEGGIATO +10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,,,
ABBIATEGRASSO,VIA CASSOLNOVO,86,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",100,1800,,
ABBIATEGRASSO,STRADA CHIAPPANA CASCINA SAN DONATO,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",1800,30000,,
ABBIATEGRASSO,VIA DE SANCTIS,7,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",190,,190,
ABBIATEGRASSO,VIA VAL D'OSSOLA,8,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",80,1200,,
ABBIATEGRASSO,VIA ALBANIA,2,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",600,9600,,
ABBIATEGRASSO,VIA DANTE,85,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",220,,220,
ABBIATEGRASSO,VIA CARDUCCI,21,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,1000,,
ABBIATEGRASSO,VIA LEGNANO,15,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",300,5000,,
ABBIATEGRASSO,VIA CARLO MAGGI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",370,5000,,
ABBIATEGRASSO,VIA GINIBISSA / VIA BOCCONI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",2,30,,
ABBIATEGRASSO,VIA CURIONI,12,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",200,,200,
ABBIATEGRASSO,CASCINA RONCHI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",300,,300,
ABBIATEGRASSO,VIA CASSOLNOVO,71,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",140,,1400,
ABBIATEGRASSO,STRADA PRABALO',10,ALTRO,,,,,,,
ABBIATEGRASSO,VIA CORSICA,8,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",250,3750,,
ABBIATEGRASSO,"CAS,LLO SAN PIETRO",SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",20,,20,
ABBIATEGRASSO,VIALE MANZONI,62,ABITAZIONE,,,,,,,
ABBIATEGRASSO,VIA VISCONTI,8,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",870,,870,
ABBIATEGRASSO,VIA DANTE,64,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",30,10,,
ABBIATEGRASSO,VIA NOVARA,37,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",500,,500,
ABBIATEGRASSO,VIA BRISCONNO,8,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",1672,,1672,
ABBIATEGRASSO,VIA MENDOSIO,26,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",1312,,1312,
ABBIATEGRASSO,VIA MAZZINI,171,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",300,,300,
ABBIATEGRASSO,VIA CAGNOLA,35,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",490,,490,
ABBIATEGRASSO,VIA STIGNANI,10,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",565,,565,
ABBIATEGRASSO,VIA DANTE,85,UFFICI,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,,,3
ABBIATEGRASSO,CASCINA CONCORDIA,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",805,5236,,
ABBIATEGRASSO,VIA VERBANO,24,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",190,,190,
ABBIATEGRASSO,CASCINA CASALINA,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",523,,523,
ABBIATEGRASSO,"VIA S,G,BOSCO",16B,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,,,1
ABBIATEGRASSO,"VIA S,G,BOSCO",16A,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,,,"0,5"
ABBIATEGRASSO,STRADA PER CASSINETTA,SN,ALTRO,NON FRIABILE,DANNEGGIATO +10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,400,,
ABBIATEGRASSO,STRADA PROPALO',SN,ALTRO,NON FRIABILE,DANNEGGIATO +10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,300,,
ABBIATEGRASSO,VIA PAOLO VI,SN,ALTRO,NON FRIABILE,DANNEGGIATO +10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,7,,
ABBIATEGRASSO,VIA MACHIAVELLI,16,ALTRO,NON FRIABILE,DANNEGGIATO +10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",,3000,,
ABBIATEGRASSO,VIA GALVANI,13,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",20,,20,
ABBIATEGRASSO,VIA CAGNOLA,19,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",35,,35,
ABBIATEGRASSO,VIA PAPA GIOVANNI XXIII,32,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",40,600,,
ABBIATEGRASSO,VIA FLLI ROSSELLI,17,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",1580,,1580,
