n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
6,2021-10-31,06,Friuli-Venezia Giulia,1402,192245836.58,130105137.07,120,81333672.00,43964013.50,834,75164539.84,60069970.50,448,35747624.74,26071153.07,,,,Friuli-Venezia Giulia
7,2021-10-31,12,Lazio,5654,941749818.31,608782858.89,712,457209854.13,248939300.49,2703,281014204.87,209157142.99,2239,203525759.31,150686415.41,,,,Lazio
8,2021-10-31,07,Liguria,560,90939868.41,56706507.67,112,45589491.91,24857115.61,278,28894632.76,20975796.58,170,16455743.74,10873595.48,,,,Liguria
9,2021-10-31,03,Lombardia,8029,1451862961.19,1065305687.56,1203,735464176.54,501712767.41,3499,379730319.05,302206943.13,3327,336668465.60,261385977.02,,,,Lombardia
10,2021-10-31,11,Marche,1351,268378074.79,183297138.64,337,170875506.29,110553325.85,589,59360551.18,44765953.34,425,38142017.32,27977859.45,,,,Marche
11,2021-10-31,14,Molise,391,68697455.06,44720704.63,62,30618635.90,18909709.12,173,21633216.86,14782791.67,156,16445602.30,11028203.84,,,,Molise
12,2021-10-31,01,Piemonte,3764,673110599.80,446368293.27,634,356097808.75,217512760.37,2238,240054083.76,174120088.92,891,75802546.29,54388013.93,,,,Piemonte
13,2021-10-31,16,Puglia,3627,538146555.58,375933514.36,324,208319062.12,122702141.30,2612,263225872.15,203231247.42,691,66601621.31,50000125.64,,,,Puglia
14,2021-10-31,20,Sardegna,1966,326607422.79,220791600.50,149,119809272.77,74186236.30,1300,148063064.78,106545465.23,517,58735085.24,40059898.97,,,,Sardegna
15,2021-10-31,19,Sicilia,4328,695388101.93,473464425.53,593,317656934.00,184648590.04,2801,285915795.45,219308118.15,934,91815372.48,69507717.34,,,,Sicilia
16,2021-10-31,09,Toscana,4617,635399477.87,449188901.70,525,245049437.73,156320038.73,1967,199775221.86,148484045.06,2125,190574818.28,144384817.91,,,,Toscana
17,2021-10-31,04,Trentino-Alto Adige/Südtirol,645,150246956.74,110974005.05,270,113719243.83,82533667.77,240,24938133.65,19967977.18,135,11589579.26,8472360.10,,,,Trentino-Alto-Adige
18,2021-10-31,10,Umbria,1015,169929357.36,117119588.04,171,85765276.97,52593999.52,504,51432275.68,39989553.95,340,32731804.71,24536034.57,,,,Umbria
19,2021-10-31,02,Valle d'Aosta/Vallée d'Aoste,108,21164619.20,14827882.95,46,14911829.39,10575125.43,47,4891040.81,3363445.59,15,1361749.00,889311.93,,,,Valle d'Aosta
20,2021-10-31,05,Veneto,7237,953421962.06,703938261.96,504,288517617.94,186076870.50,3152,330176386.42,256608856.17,3581,334727957.70,261252535.29,,,,Veneto
1,2021-11-30,13,Abruzzo,1950,435914070.22,277061030.65,458,280705358.02,162143809.13,866,95688463.59,68672381.95,626,59520248.61,46244839.57,,,,Abruzzo
2,2021-11-30,17,Basilicata,845,231778183.15,154528162.75,296,168349786.45,111250189.50,368,43668456.26,31127255.33,181,19759940.44,12150717.92,,,,Basilicata
3,2021-11-30,18,Calabria,2909,514395458.33,354276908.36,446,250261651.37,149857134.64,1578,169470540.76,135974061.18,885,94663266.20,68445712.54,,,,Calabria
4,2021-11-30,15,Campania,4564,964583500.35,607276752.74,990,578734784.30,332571287.69,2599,283282627.81,205901319.63,975,102566088.24,68804145.42,,,,Campania
5,2021-11-30,08,Emilia-Romagna,5289,980398406.14,723604634.49,993,581822515.19,417814111.42,2331,226472751.42,173603594.46,1965,172103139.53,132186928.61,,,,Emilia-Romagna
6,2021-11-30,06,Friuli-Venezia Giulia,1685,229882827.11,161093342.65,144,95042867.11,56169916.90,1007,92442892.90,73544786.01,534,42397067.10,31378639.74,,,,Friuli-Venezia Giulia
7,2021-11-30,12,Lazio,6693,1145934634.75,736281705.04,874,569248553.70,308602672.55,3209,336322167.35,249472756.42,2610,240363913.70,178206276.07,,,,Lazio
8,2021-11-30,07,Liguria,653,110441267.34,68681453.98,139,57509632.79,30997542.24,318,34046556.34,24833246.76,196,18885078.21,12850664.98,,,,Liguria
9,2021-11-30,03,Lombardia,9826,1820781638.06,1335465511.46,1508,938833324.20,643498056.41,4349,478828150.17,377217852.98,3969,403120163.69,314749602.07,,,,Lombardia
10,2021-11-30,11,Marche,1615,326584819.38,225811910.02,401,208647081.02,137535144.68,694,70573185.41,54091882.73,520,47364552.95,34184882.61,,,,Marche
11,2021-11-30,14,Molise,443,81374600.94,52225803.87,77,39095073.12,23464830.42,202,25097391.27,17018467.82,164,17182136.55,11742505.63,,,,Molise
12,2021-11-30,01,Piemonte,4549,800353152.41,537330092.20,755,409964026.30,253149922.05,2775,301868048.26,220465889.28,1018,87364916.85,63366850.82,,,,Piemonte
13,2021-11-30,16,Puglia,4431,658462819.37,467011263.37,402,253304062.54,156181466.57,3181,322011049.70,249267522.24,848,83147707.13,61562274.56,,,,Puglia
14,2021-11-30,20,Sardegna,2391,412229042.93,272897608.23,189,159002630.60,93884911.30,1579,182944347.04,131091183.26,623,70282065.29,47921513.67,,,,Sardegna
15,2021-11-30,19,Sicilia,5128,846558633.65,576256533.43,719,393257469.29,229703887.67,3315,345112950.49,263059849.89,1094,108188213.87,83492795.87,,,,Sicilia
16,2021-11-30,09,Toscana,5549,775163462.51,550888962.20,678,309054039.25,198624154.59,2383,242549444.70,180959506.45,2488,223559978.56,171305301.16,,,,Toscana
17,2021-11-30,04,Trentino-Alto Adige/Südtirol,837,199607333.36,149916140.87,350,150661668.33,110206582.25,320,34195382.07,28222495.68,167,14750282.96,11487062.94,,,,Trentino-Alto-Adige
