CUP,CIG,CIG_Accordo_Quadro
D62B22007510007,NULL,NULL
D62B22007520007,NULL,NULL
D62B22007530005,NULL,NULL
D62B22007560007,NULL,NULL
D63C22000910006,NULL,NULL
D64C22001510001,NULL,NULL
D64D22001840006,NULL,NULL
D64D22001850006,NULL,NULL
D64D22001860006,NULL,NULL
D64D22001880006,NULL,NULL
D64D22001920006,NULL,NULL
D64D22001930006,NULL,NULL
D64D22001940006,NULL,NULL
D64D22002000006,NULL,NULL
D64D22002030006,NULL,NULL
D64D22002040006,NULL,NULL
D64D22002090006,NULL,NULL
D64D22002120006,NULL,NULL
D64D22002150006,NULL,NULL
D64D22002160006,NULL,NULL
D64D22002180006,NULL,NULL
D64D22002190006,NULL,NULL
D64D22002210006,NULL,NULL
D64D22002220006,NULL,NULL
D64D22002230006,NULL,NULL
D64D22002240006,NULL,NULL
D64D22002290006,NULL,NULL
D64D22002320006,NULL,NULL
D64D22002360006,NULL,NULL
D64D22002380006,NULL,NULL
D64D22002390006,NULL,NULL
D64D22002400006,NULL,NULL
D64D22002430006,NULL,NULL
D64D22002460006,NULL,NULL
D64D22002490006,NULL,NULL
D64D22002500006,NULL,NULL
D64D22002510006,NULL,NULL
D64D22002520006,NULL,NULL
D64D22002530006,NULL,NULL
D64D22002560006,NULL,NULL
D64D22002600006,NULL,NULL
D64D22002610006,NULL,NULL
D64D22002660006,NULL,NULL
D64D22002670006,NULL,NULL
D64D22002690006,NULL,NULL
D64D22002710006,NULL,NULL
D64D22002720006,NULL,NULL
D64D22002730006,NULL,NULL
D64D22002740006,NULL,NULL
D64D22002970006,NULL,NULL
D64D22003040006,NULL,NULL
D64D22003180006,NULL,NULL
D64D22003190006,NULL,NULL
D64D22003200006,NULL,NULL
D64D22003210006,NULL,NULL
D64D23000560006,9997393DAE,NULL
D64D23000570006,999740686A,NULL
D64H22000270001,NULL,NULL
D67B23000160006,NULL,NULL
D69J19000510001,NULL,NULL
D69J21007980001,NULL,NULL
D69J21008060001,NULL,NULL
D69J21008100001,NULL,NULL
D69J21008260001,NULL,NULL
D69J21008290001,NULL,NULL
D69J21009240001,NULL,NULL
D69J21014910001,NULL,NULL
D69J21016540001,NULL,NULL
D69J21016540001,9476671C4B,NULL
D69J21016740001,NULL,NULL
D69J21016870001,NULL,NULL
D69J21016950001,NULL,NULL
D69J21017180001,NULL,NULL
D69J21017650001,NULL,NULL
D70F22000000008,NULL,NULL
D70F24000000008,NULL,NULL
D72B22004920007,NULL,NULL
D72B22004930007,NULL,NULL
D72B22005010007,NULL,NULL
D72B22005020007,NULL,NULL
D72B22005030007,NULL,NULL
D72B22005050007,NULL,NULL
D72B22005060007,NULL,NULL
D72B22005070007,NULL,NULL
D72B22005080007,NULL,NULL
D72B22005090007,NULL,NULL
D72B22005100007,NULL,NULL
D72B22005160007,NULL,NULL
D72B22005170007,NULL,NULL
D72B22005180007,NULL,NULL
D74D22002130006,NULL,NULL
D74D22002170006,NULL,NULL
D74D22002200006,NULL,NULL
D74D22002230006,NULL,NULL
D74D22002260006,NULL,NULL
D74D22002280006,NULL,NULL
D74D22002290006,NULL,NULL
D74D22002330006,NULL,NULL
D74D22002340006,NULL,NULL
D74D22002380006,NULL,NULL
D74D22002430006,NULL,NULL
D74D22002450006,NULL,NULL
D74D22002460006,NULL,NULL
D74D22002470006,NULL,NULL
D74D22002480006,NULL,NULL
D74D22002490006,NULL,NULL
D74D22002530006,NULL,NULL
D74D22002540006,NULL,NULL
D74D22002550006,NULL,NULL
D74D22002590006,NULL,NULL
D74D22002610006,NULL,NULL
D74D22002630006,NULL,NULL
D74D22002650006,NULL,NULL
D74D22002660006,NULL,NULL
D74D22002670006,NULL,NULL
D74D22002690006,NULL,NULL
D74D22002720006,NULL,NULL
D74D22002740006,NULL,NULL
D74D22002750006,NULL,NULL
D74D22002780006,NULL,NULL
D74D22002840006,NULL,NULL
D74D22002860006,NULL,NULL
D74D22002880006,NULL,NULL
D74D22002920006,NULL,NULL
D74D22002970006,NULL,NULL
D74D22003010006,NULL,NULL
D74D22003110006,NULL,NULL
D74D22003640001,NULL,NULL
D74D23000230006,9991221864,NULL
D74D23000250006,9978220F9E,NULL
D74E20004150001,NULL,NULL
D74E21003730001,NULL,NULL
D74E21003740001,NULL,NULL
D74E21003760001,NULL,NULL
D74E21003860001,NULL,NULL
D74J23000270006,9745595F65,NULL
D74J23000280006,NULL,NULL
D74J23000360006,NULL,NULL
D77H24002420004,NULL,NULL
D78E22000030004,NULL,NULL
D79I23000590006,NULL,NULL
D79J21007380001,NULL,NULL
D79J21007450001,NULL,NULL
D79J21007600001,NULL,NULL
D79J21007610001,NULL,NULL
D79J21007710001,NULL,NULL
D79J21009390001,NULL,NULL
D79J21015170001,NULL,NULL
D79J21015200001,NULL,NULL
D79J21015210001,NULL,NULL
D79J21015270001,NULL,NULL
D79J21015600001,NULL,NULL
D81C23001240002,NULL,NULL
D81J22000500006,NULL,NULL
D82B22006600007,NULL,NULL
D82B22006610007,NULL,NULL
D82B22006620007,NULL,NULL
D82B22006630007,NULL,NULL
D82B22006640007,NULL,NULL
D82B22006650007,NULL,NULL
D82B22006660001,NULL,NULL
D82B22006670007,NULL,NULL
D82B22006680007,NULL,NULL
D82B22006700007,NULL,NULL
D82B22006710008,NULL,NULL
D82B22006720007,NULL,NULL
D82B22006730007,NULL,NULL
D83D21005250001,NULL,NULL
D83E23000090006,NULL,NULL
D83E23000100006,NULL,NULL
D83E23000110006,NULL,NULL
D84D22001870006,NULL,NULL
D84D22001880006,NULL,NULL
D84D22001900006,NULL,NULL
D84D22001910006,NULL,NULL
D84D22001930006,NULL,NULL
D84D22001950006,NULL,NULL
D84D22001960006,NULL,NULL
D84D22001980006,NULL,NULL
D84D22002000006,NULL,NULL
D84D22002010006,NULL,NULL
D84D22002020006,NULL,NULL
D84D22002050006,NULL,NULL
D84D22002070006,NULL,NULL
D84D22002110006,NULL,NULL
D84D22002120006,NULL,NULL
D84D22002130006,NULL,NULL
D84D22002140006,NULL,NULL
D84D22002150006,NULL,NULL
D84D22002160006,NULL,NULL
D84D22002170006,NULL,NULL
D84D22002190006,NULL,NULL
D84D22002220006,NULL,NULL
D84D22002260006,NULL,NULL
D84D22002290006,NULL,NULL
D84D22002310006,NULL,NULL
D84D22002380006,NULL,NULL
D84D22002390006,NULL,NULL
D84D22002500006,NULL,NULL
D84D22002510006,NULL,NULL
D84D22002540006,NULL,NULL
D84D22002570006,NULL,NULL
D84D22002620006,NULL,NULL
D84D22002630006,NULL,NULL
D84D22002660006,NULL,NULL
D84D22002680006,NULL,NULL
D84D22002690006,NULL,NULL
D84D22002720006,NULL,NULL
D84D22002820006,NULL,NULL
D84D22002840006,NULL,NULL
D84D22002880006,NULL,NULL
D84D22002890006,NULL,NULL
D84D22002950006,NULL,NULL
D84D22002960006,NULL,NULL
D84D22003030006,NULL,NULL
D84D22003070006,NULL,NULL
D84D22003110006,NULL,NULL
D84D22003180006,NULL,NULL
D84D22003190006,NULL,NULL
D84D22003260006,NULL,NULL
D84D22003280006,NULL,NULL
D84D22004020006,99739392D7,NULL
D84D22004020006,9973982652,NULL
D84D22004020006,9973976160,NULL
D84D22004020006,997396584A,NULL
D84D22004670006,NULL,NULL
D84D22004670006,A0001419B6,NULL
D84D23000140006,NULL,NULL
D84D23002220001,NULL,NULL
D84E20004940001,NULL,NULL
D84E21003160001,NULL,NULL
D84E24000070006,NULL,NULL
D84H22000060006,NULL,NULL
D84H22000150006,NULL,NULL
D84H22000170006,NULL,NULL
D84J23000250001,NULL,NULL
D84J23000290006,9744942489,NULL
D84J23000300007,9743460D8A,NULL
D89I22000140008,NULL,NULL
D89I23000270001,9736955574,NULL
D89I24001410008,NULL,NULL
D89J21010060001,NULL,NULL
D89J21010250001,NULL,NULL
D89J21010320001,NULL,NULL
D89J21010400001,NULL,NULL
D89J21010420001,NULL,NULL
D89J21020320001,NULL,NULL
D89J21020400001,NULL,NULL
D89J21020530001,9987146599,NULL
D89J21020670001,NULL,NULL
D89J22002210006,97302421B7,NULL
D89J22002210006,A007D54D5D,NULL
D90F22000000008,NULL,NULL
D92B22001910007,NULL,NULL
D92B22001940007,NULL,NULL
D92B22001950001,NULL,NULL
D92B22001960007,NULL,NULL
D92B22001980007,NULL,NULL
D92B22001990007,NULL,NULL
D92B22002000007,NULL,NULL
D92B22002010007,NULL,NULL
D92B22002110001,NULL,NULL
D92C24000080002,NULL,NULL
D93C23000120001,A044941C59,8151092DE5
D94D22002560006,NULL,NULL
D94D22002580006,NULL,NULL
D94D22002590006,NULL,NULL
D94D22002620006,NULL,NULL
D94D22002640006,NULL,NULL
D94D22002650006,NULL,NULL
D94D22002660006,NULL,NULL
D94D22002670006,NULL,NULL
D94D22002700006,NULL,NULL
D94D22002760006,NULL,NULL
D94D22002790006,NULL,NULL
D94D22002800006,NULL,NULL
D94D22002820006,NULL,NULL
D94D22002840006,NULL,NULL
D94D22002860006,NULL,NULL
D94D22003080006,NULL,NULL
D94D22003120006,NULL,NULL
D94D22003140006,NULL,NULL
D94D22003190006,NULL,NULL
D94D22003330006,NULL,NULL
D94D22003370006,NULL,NULL
D94D22003380006,NULL,NULL
D94D22003400006,NULL,NULL
D94D22003410006,NULL,NULL
D94D22003430006,NULL,NULL
D94D22003440006,NULL,NULL
D94D22003470006,NULL,NULL
D94D22003480006,NULL,NULL
D94D22003490006,NULL,NULL
D94D22003500006,NULL,NULL
D94D22003510006,NULL,NULL
D94D22003540006,NULL,NULL
D94D22003550006,NULL,NULL
D94D22003580006,NULL,NULL
D94D22003660006,NULL,NULL
D94D22003740006,NULL,NULL
D94E24000200006,NULL,NULL
D94E24000210006,NULL,NULL
D94J23000370006,973707587A,NULL
D95E22000670006,NULL,NULL
D97H22009060006,NULL,NULL
D98H22002000006,NULL,NULL
D99I23001160006,NULL,NULL
D99J21006600001,NULL,NULL
D99J21006640001,NULL,NULL
D99J21006670001,NULL,NULL
D99J21006700001,NULL,NULL
D99J21006770001,NULL,NULL
D99J21006940001,NULL,NULL
D99J21014130001,NULL,NULL
D99J21014190001,NULL,NULL
D99J22000550001,NULL,NULL
E13C24000930001,NULL,NULL
E13C24000970001,NULL,NULL
E13D21002350001,NULL,NULL
E14C22001450004,NULL,NULL
E14D22002140006,NULL,NULL
E14D22002150006,NULL,NULL
E14D22002200006,NULL,NULL
E14D22002250006,NULL,NULL
E14D22002280006,NULL,NULL
E14D22002290006,NULL,NULL
E14D22002320006,NULL,NULL
E14D22002340006,NULL,NULL
E14D22002350006,NULL,NULL
E14D22002370006,NULL,NULL
E14D22002390006,NULL,NULL
E14D22002410006,NULL,NULL
E14D22002420006,NULL,NULL
E14D22002430006,NULL,NULL
E14D22002470006,NULL,NULL
E14D22002510006,NULL,NULL
E14D22002550006,NULL,NULL
E14D22002560006,NULL,NULL
E14D22002570006,NULL,NULL
E14D22002580006,NULL,NULL
E14D22002610006,NULL,NULL
E14D22002660006,NULL,NULL
E14D22002680006,NULL,NULL
E14D22002710006,NULL,NULL
E14D22002740006,NULL,NULL
E14D22002760006,NULL,NULL
E14D22002780006,NULL,NULL
E14D22002810006,NULL,NULL
E14D22002830006,NULL,NULL
E14D22002870006,NULL,NULL
E14D22002900006,NULL,NULL
E14D22002930006,NULL,NULL
E14D22002940006,NULL,NULL
E14D22002960006,NULL,NULL
E14D22002990006,NULL,NULL
E14D22003000006,NULL,NULL
E14D22003010006,NULL,NULL
E14D22003020006,NULL,NULL
E14D22003030006,NULL,NULL
E14D22003060006,NULL,NULL
E14D22003130006,NULL,NULL
E14D22003170006,NULL,NULL
E14H22000380001,B180072029,NULL
E14H22000440006,NULL,NULL
E14J23000260006,973530322F,NULL
E14J23000270006,9746351F44,NULL
E16G21000300001,NULL,NULL
E19I22001090005,NULL,NULL
E19J21005030001,NULL,NULL
E19J21005070001,NULL,NULL
E19J21005140001,NULL,NULL
E19J21005270001,NULL,NULL
E19J21005280001,NULL,NULL
E19J21005320001,NULL,NULL
E19J21005330001,NULL,NULL
E19J21006000001,NULL,NULL
E19J21010400001,NULL,NULL
E19J21012370001,NULL,NULL
E19J21012460001,NULL,NULL
E19J21013610001,NULL,NULL
E19J21013860001,NULL,NULL
E21E22000100005,NULL,NULL
E22C22000210001,A055B537DE,8444481E28
E22C22000210001,A055E2078E,8444481E28
E23C22000830006,NULL,NULL
E23C22000850006,NULL,NULL
E23C22000970006,NULL,NULL
E23C22000980006,NULL,NULL
E23C23000030006,NULL,NULL
E23C24000190006,NULL,NULL
E24C22000980004,NULL,NULL
E24C22001030004,NULL,NULL
E24D22001480006,NULL,NULL
E24D22001490006,NULL,NULL
E24D22001550006,NULL,NULL
E24D22001560006,NULL,NULL
E24D22001570006,NULL,NULL
E24D22001590006,NULL,NULL
E24D22001620006,NULL,NULL
E24D22001640006,NULL,NULL
E24D22001650006,NULL,NULL
E24D22001660006,NULL,NULL
E24D22001670006,NULL,NULL
E24D22001690006,NULL,NULL
E24D22001740006,NULL,NULL
E24D22001810006,NULL,NULL
E24D22001830006,NULL,NULL
E24D22001850006,NULL,NULL
E24D22001860006,NULL,NULL
E24D22001880006,NULL,NULL
E24D22001890006,NULL,NULL
E24D22001900006,NULL,NULL
E24D22001910006,NULL,NULL
E24D22001920006,NULL,NULL
E24D22001930006,NULL,NULL
E24D22001940006,NULL,NULL
E24D22001950006,NULL,NULL
E24D22001960006,NULL,NULL
E24D22002070006,NULL,NULL
E24D22002130006,NULL,NULL
E24D22002190006,NULL,NULL
E24J23000130006,9751430E97,NULL
E25B23000080006,9740429849,NULL
E25E22000290007,NULL,NULL
E29I23000940006,NULL,NULL
E29J20002360001,NULL,NULL
E29J21003440001,NULL,NULL
E29J21003570001,NULL,NULL
E29J21006790001,NULL,NULL
E29J21009390001,NULL,NULL
E29J21009400001,NULL,NULL
E31H22000010001,NULL,NULL
E32C20001530008,NULL,NULL
E33D23000000006,NULL,NULL
E34B22000010008,NULL,NULL
E34C22001500001,NULL,NULL
E34C22001580004,NULL,NULL
E34C22001640004,NULL,NULL
E34D22003380006,NULL,NULL
E34D22003390006,NULL,NULL
E34D22003460006,NULL,NULL
E34D22003480006,NULL,NULL
E34D22003490006,NULL,NULL
E34D22003500006,NULL,NULL
E34D22003590006,NULL,NULL
E34D22003610006,NULL,NULL
E34D22003620006,NULL,NULL
E34D22003650006,NULL,NULL
E34D22003710006,NULL,NULL
E34D22003820006,NULL,NULL
E34D22003850006,NULL,NULL
E34D22003870006,NULL,NULL
E34D22003880006,NULL,NULL
E34D22003910006,NULL,NULL
E34D22003920006,NULL,NULL
E34D22004020006,NULL,NULL
E34D22004060006,NULL,NULL
E34D22004070006,NULL,NULL
E34D22004100006,NULL,NULL
E34D22004130006,NULL,NULL
E34D22004140006,NULL,NULL
E34D22004150006,NULL,NULL
E34D22004170006,NULL,NULL
E34D22004230006,NULL,NULL
E34D22004240006,NULL,NULL
E34D22004280006,NULL,NULL
E34D22004320006,NULL,NULL
E34D22004330006,NULL,NULL
E34D22004390006,NULL,NULL
E34D22004440006,NULL,NULL
E34D22004450006,NULL,NULL
E34D22004490006,NULL,NULL
E34D22004510006,NULL,NULL
E34D22004530006,NULL,NULL
E34D22004550006,NULL,NULL
E34D22004640006,NULL,NULL
E34D22004650006,NULL,NULL
E34D22004670006,NULL,NULL
E34D22004680006,NULL,NULL
E34D22004800006,NULL,NULL
E34D22004810006,NULL,NULL
E34D22005800006,NULL,NULL
E34D22005800006,9997234A79,NULL
E34E22000350006,NULL,NULL
E34E22000360006,NULL,NULL
E34E22000370006,NULL,NULL
E34H22000400006,NULL,NULL
E35I23000030001,NULL,NULL
E39B22000010006,NULL,NULL
E39J21005220001,NULL,NULL
E39J21005400001,NULL,NULL
E39J21005410001,NULL,NULL
E39J21005490001,NULL,NULL
E39J21005570001,NULL,NULL
E39J21005630001,NULL,NULL
E39J21006270001,NULL,NULL
E39J21006760001,NULL,NULL
E39J21014170001,A000C51AC0,NULL
E39J21014190001,NULL,NULL
E39J21014220001,NULL,NULL
E39J21014520001,NULL,NULL
E39J22000670006,NULL,NULL
E41B21008230006,NULL,NULL
E41B21008240006,NULL,NULL
E41F23000530006,NULL,NULL
E43C22000540006,NULL,NULL
E44C22001170004,NULL,NULL
E44D22001790006,NULL,NULL
E44D22001820006,NULL,NULL
E44D22001840006,NULL,NULL
E44D22001870006,NULL,NULL
E44D22001900006,NULL,NULL
E44D22001930006,NULL,NULL
E44D22001950006,NULL,NULL
E44D22001990006,NULL,NULL
E44D22002000006,NULL,NULL
E44D22002010006,NULL,NULL
E44D22002020006,NULL,NULL
E44D22002030006,NULL,NULL
E44D22002050006,NULL,NULL
E44D22002100006,NULL,NULL
E44D22002140006,NULL,NULL
E44D22002170006,NULL,NULL
E44D22002180006,NULL,NULL
E44D22002190006,NULL,NULL
E44D22002200006,NULL,NULL
E44D22002260006,NULL,NULL
E44D22002290006,NULL,NULL
E44D22002310006,NULL,NULL
E44D22002330006,NULL,NULL
E44D22002340006,NULL,NULL
E44D22002470006,NULL,NULL
E44D22002490006,NULL,NULL
E44D22002550006,NULL,NULL
E44D22002590006,NULL,NULL
E44D22002610006,NULL,NULL
E44D22002690006,NULL,NULL
E44E22000320006,NULL,NULL
E44H22000120006,NULL,NULL
E44H23000080006,9745070E27,NULL
E44J23000230001,NULL,NULL
E44J23000270006,9741983AAF,NULL
E45B23000100006,NULL,NULL
E45J19001040002,NULL,NULL
E49I20000030001,NULL,NULL
E49J21008600001,NULL,NULL
E49J21008620001,NULL,NULL
E49J21008640001,NULL,NULL
E49J21008650001,NULL,NULL
E49J21008700001,NULL,NULL
E49J21008760001,NULL,NULL
E49J21009710001,NULL,NULL
E49J21018170001,NULL,NULL
E49J21018220001,NULL,NULL
E49J21018930001,NULL,NULL
E51C23000380006,NULL,NULL
E52C22000270001,A055E7F5F4,8444481E28
E52C22000270001,A055E62E03,8444481E28
E53C22002600007,NULL,NULL
E54C22001210004,NULL,NULL
E54D22001640006,NULL,NULL
E54D22001650006,NULL,NULL
E54D22001690006,NULL,NULL
E54D22001710006,NULL,NULL
E54D22001730006,NULL,NULL
E54D22001740006,NULL,NULL
E54D22001750006,NULL,NULL
E54D22001770006,NULL,NULL
E54D22001790006,NULL,NULL
E54D22001800006,NULL,NULL
E54D22001820006,NULL,NULL
E54D22001840006,NULL,NULL
E54D22001890006,NULL,NULL
E54D22001900006,NULL,NULL
E54D22001910006,NULL,NULL
E54D22001920006,NULL,NULL
E54D22001930006,NULL,NULL
E54D22001950006,NULL,NULL
E54D22001970006,NULL,NULL
E54D22002000006,NULL,NULL
E54D22002010006,NULL,NULL
E54D22002070006,NULL,NULL
E54D22002150006,NULL,NULL
E54D22002170006,NULL,NULL
E54D22002180006,NULL,NULL
E54D22002190006,NULL,NULL
E54D22002220006,NULL,NULL
E54D22002230006,NULL,NULL
E54D22002280006,NULL,NULL
E54D22002340006,NULL,NULL
E54D22002380006,NULL,NULL
E54D22002420006,NULL,NULL
E54H22000090007,NULL,NULL
E54H22000120006,NULL,NULL
E54H22000260006,NULL,NULL
E54H22000270006,NULL,NULL
E54H23000060001,NULL,NULL
E54J23000120006,97387037F2,NULL
E55E22000580007,NULL,NULL
E56C18000370002,NULL,NULL
E59I23000590006,NULL,NULL
E59J21004180001,NULL,NULL
E59J21004220001,NULL,NULL
E59J21004240001,NULL,NULL
E59J21004390001,NULL,NULL
E59J21004440001,NULL,NULL
E59J21004580001,NULL,NULL
E59J21009470001,NULL,NULL
E59J21010500001,NULL,NULL
E59J21010760001,NULL,NULL
E63C22001090005,B077D09E6C,NULL
E64C22001420004,NULL,NULL
E64C22001440004,NULL,NULL
E64C22001510004,NULL,NULL
E64C22001720004,NULL,NULL
E64C22001810004,NULL,NULL
E64D22001960006,NULL,NULL
E64D22001970006,NULL,NULL
E64D22002020006,NULL,NULL
E64D22002040006,NULL,NULL
E64D22002070006,NULL,NULL
E64D22002110006,NULL,NULL
E64D22002150006,NULL,NULL
E64D22002220006,NULL,NULL
E64D22002230006,NULL,NULL
E64D22002240006,NULL,NULL
E64D22002250006,NULL,NULL
E64D22002280006,NULL,NULL
E64D22002290006,NULL,NULL
E64D22002310006,NULL,NULL
E64D22002320006,NULL,NULL
E64D22002330006,NULL,NULL
E64D22002350006,NULL,NULL
E64D22002370006,NULL,NULL
E64D22002380006,NULL,NULL
E64D22002400006,NULL,NULL
E64D22002410006,NULL,NULL
E64D22002420006,NULL,NULL
E64D22002430006,NULL,NULL
E64D22002440006,NULL,NULL
E64D22002470006,NULL,NULL
E64D22002480006,NULL,NULL
E64D22002490006,NULL,NULL
E64D22002530006,NULL,NULL
E64D22002580006,NULL,NULL
E64D22002590006,NULL,NULL
E64D22002610006,NULL,NULL
E64D22002630006,NULL,NULL
E64D22002640006,NULL,NULL
E64D22002650006,NULL,NULL
E64D22002680006,NULL,NULL
E64D22002720006,NULL,NULL
E64E22001000006,NULL,NULL
E64E22001010006,NULL,NULL
E64E22001030006,NULL,NULL
E64E22001040006,NULL,NULL
E64E22001050006,NULL,NULL
E64E22001060006,NULL,NULL
E64E22001070006,NULL,NULL
E64E22001080006,NULL,NULL
E64E22001090006,NULL,NULL
E64E22001100006,NULL,NULL
E65B22000020008,NULL,NULL
E65C22000830006,B22FC79F16,NULL
E67B22000890004,NULL,NULL
E68B09000160006,NULL,NULL
E69E19000840001,NULL,NULL
E69I22000850001,NULL,NULL
E69I22001240005,NULL,NULL
E69J21004290001,NULL,NULL
E69J21005020001,NULL,NULL
E69J21011880001,NULL,NULL
E69J21012190001,998034593B,NULL
E69J21012300001,NULL,NULL
E69J21012460001,NULL,NULL
E71B21004960006,NULL,NULL
E71F23000700002,NULL,NULL
E73D21004450001,NULL,NULL
E74C22001240006,NULL,NULL
E74C22001400004,NULL,NULL
E74C22001410004,NULL,NULL
E74C22001420004,NULL,NULL
E74C22001430004,NULL,NULL
E74C22001650004,NULL,NULL
E74C22001690004,NULL,NULL
E74D22002420006,NULL,NULL
E74D22002440006,NULL,NULL
E74D22002500006,NULL,NULL
E74D22002510006,NULL,NULL
E74D22002530006,NULL,NULL
E74D22002550006,NULL,NULL
E74D22002560006,NULL,NULL
E74D22002590006,NULL,NULL
E74D22002610006,NULL,NULL
E74D22002690006,NULL,NULL
E74D22002720006,NULL,NULL
E74D22002740006,NULL,NULL
E74D22002750006,NULL,NULL
E74D22002780006,NULL,NULL
E74D22002830006,NULL,NULL
E74D22002870006,NULL,NULL
E74D22002880006,NULL,NULL
E74D22002900006,NULL,NULL
E74D22002920006,NULL,NULL
E74D22002930006,NULL,NULL
E74D22002940006,NULL,NULL
E74D22002950006,NULL,NULL
E74D22002970006,NULL,NULL
E74D22003100006,NULL,NULL
E74D22003130006,NULL,NULL
E74D22003140006,NULL,NULL
E74D22003160006,NULL,NULL
E74D22003170006,NULL,NULL
E74D22003200006,NULL,NULL
E74D22003230006,NULL,NULL
E74D22003250006,NULL,NULL
E74D22003320006,NULL,NULL
E74D22003360006,NULL,NULL
E74H22000520006,NULL,NULL
E77H20004550003,NULL,NULL
E77H20004560003,NULL,NULL
E79J21004630001,NULL,NULL
E79J21004670001,NULL,NULL
E79J21004830001,NULL,NULL
E79J21012730001,NULL,NULL
E79J21012970001,NULL,NULL
E79J21013160001,NULL,NULL
E79J21013170001,9478509910,NULL
E82E22001110004,NULL,NULL
E83C22006300001,NULL,NULL
E83C22006320001,NULL,NULL
E83C22006330001,NULL,NULL
E83C22006340002,NULL,NULL
E83C22006360001,NULL,NULL
E83C22006700001,NULL,NULL
E83D21007090005,NULL,NULL
E83D21007110001,NULL,NULL
E84C22001800004,NULL,NULL
E84C22001870004,NULL,NULL
E84D22002890006,NULL,NULL
E84D22002900006,NULL,NULL
E84D22002920006,NULL,NULL
E84D22002950006,NULL,NULL
E84D22002970006,NULL,NULL
E84D22003000006,NULL,NULL
E84D22003020006,NULL,NULL
E84D22003030006,NULL,NULL
E84D22003040006,NULL,NULL
E84D22003050006,NULL,NULL
E84D22003090006,NULL,NULL
E84D22003130006,NULL,NULL
E84D22003170006,NULL,NULL
E84D22003200006,NULL,NULL
E84D22003210006,NULL,NULL
E84D22003230006,NULL,NULL
E84D22003240006,NULL,NULL
E84D22003260006,NULL,NULL
E84D22003270006,NULL,NULL
E84D22003280006,NULL,NULL
E84D22003300006,NULL,NULL
E84D22003310006,NULL,NULL
E84D22003340006,NULL,NULL
E84D22003380006,NULL,NULL
E84D22003410006,NULL,NULL
E84D22003450006,NULL,NULL
E84D22003470006,NULL,NULL
E84D22003490006,NULL,NULL
E84D22003520006,NULL,NULL
E84D22003540006,NULL,NULL
E84D22003580006,NULL,NULL
E84D22003620006,NULL,NULL
E84D22003630006,NULL,NULL
E84D22003660006,NULL,NULL
E84D22003680006,NULL,NULL
E84D22003700006,NULL,NULL
E84D22003710006,NULL,NULL
E84D22003720006,NULL,NULL
E84D22003750006,NULL,NULL
E84D22003820006,NULL,NULL
E84D22003850006,NULL,NULL
E84D22003900006,NULL,NULL
E84D22003920006,NULL,NULL
E84D22003960006,NULL,NULL
E84D22003980006,NULL,NULL
E84D22003990006,NULL,NULL
E84D22004010006,NULL,NULL
E84D22004090006,NULL,NULL
E84D22004200006,NULL,NULL
E84D22004220006,NULL,NULL
E84D22004230006,NULL,NULL
E84D22004250006,NULL,NULL
E84D22004290006,NULL,NULL
E84D22004330006,NULL,NULL
E84D23000340006,9990925421,NULL
E84D23000340006,9990994D0F,NULL
E84E22000360006,NULL,NULL
E84E22000370006,NULL,NULL
E84E22000380006,NULL,NULL
E84E22000390006,NULL,NULL
E84E22000410006,NULL,NULL
E87H20002970001,Z472FEE1BA,NULL
E87H20002970001,NULL,NULL
E89B22000010006,NULL,NULL
E89E21000000006,NULL,NULL
E89I23001710006,NULL,NULL
E89I24000160006,NULL,NULL
E89J21005360001,NULL,NULL
E89J21006850001,NULL,NULL
E89J21007000001,NULL,NULL
E89J21007290001,NULL,NULL
E89J21007550001,NULL,NULL
E89J21008600001,NULL,NULL
E89J21016170001,NULL,NULL
E89J21016180001,NULL,NULL
E89J21016310001,9472490209,NULL
E89J21016420001,NULL,NULL
E89J21016890001,NULL,NULL
E89J21019220001,NULL,NULL
E89J21020720001,NULL,NULL
E89J21020740001,NULL,NULL
E89J22001660006,A032E37A1E,9502643513
E91I22000360005,NULL,NULL
E92B22000750009,NULL,NULL
E92F21000090006,NULL,NULL
E93E22000050001,NULL,NULL
E94C22000970006,NULL,NULL
E94C22001160004,NULL,NULL
E94C22001210004,NULL,NULL
E94D22003220006,NULL,NULL
E94D22003230006,NULL,NULL
E94D22003240006,NULL,NULL
E94D22003250006,NULL,NULL
E94D22003270006,NULL,NULL
E94D22003320006,NULL,NULL
E94D22003370006,NULL,NULL
E94D22003400006,NULL,NULL
E94D22003420006,NULL,NULL
E94D22003460006,NULL,NULL
E94D22003500006,NULL,NULL
E94D22003560006,NULL,NULL
E94D22003580006,NULL,NULL
E94D22003590006,NULL,NULL
E94D22003620006,NULL,NULL
E94D22003630006,NULL,NULL
E94D22003640006,NULL,NULL
E94D22003650006,NULL,NULL
E94D22003720006,NULL,NULL
E94D22003730006,NULL,NULL
E94D22003740006,NULL,NULL
E94D22003750006,NULL,NULL
E94D22003760006,NULL,NULL
E94D22003770006,NULL,NULL
E94D22003780006,NULL,NULL
E94D22003840006,NULL,NULL
E94D22003850006,NULL,NULL
E94D22003870006,NULL,NULL
E94D22003900006,NULL,NULL
E94D22003940006,NULL,NULL
E94D22003980006,NULL,NULL
E94D22004020006,NULL,NULL
E94D22004030006,NULL,NULL
E94D22004040006,NULL,NULL
E94D22004070006,NULL,NULL
E94H22000270006,NULL,NULL
E98H21000260006,NULL,NULL
E99I23000600006,NULL,NULL
