CUP,CIG,CIG_Accordo_Quadro
B49J21005560001,NULL,NULL
B49J21005660001,NULL,NULL
B49J21024370001,NULL,NULL
B49J21025450001,NULL,NULL
B49J21025450001,9474809BB9,NULL
B49J21025830001,NULL,NULL
B49J21026170001,NULL,NULL
B49J21026390001,NULL,NULL
B49J23000980004,NULL,NULL
B51B21004310002,NULL,NULL
B51B21004320002,NULL,NULL
B51B21006020006,NULL,NULL
B51B23000450006,NULL,NULL
B51B23000460006,NULL,NULL
B51C22001310006,NULL,NULL
B51C23000060006,NULL,NULL
B51C23000490006,NULL,NULL
B51D22000530006,NULL,NULL
B51D23000120006,NULL,NULL
B51E22000280006,NULL,NULL
B52C20001070001,NULL,NULL
B54D22002620006,NULL,NULL
B54D22002670006,NULL,NULL
B54D22002700006,NULL,NULL
B54D22002710006,NULL,NULL
B54D22002770006,NULL,NULL
B54D22002780006,NULL,NULL
B54D22002790006,NULL,NULL
B54D22002800006,NULL,NULL
B54D22002810006,NULL,NULL
B54D22002820006,NULL,NULL
B54D22002860006,NULL,NULL
B54D22002870006,NULL,NULL
B54D22002920006,NULL,NULL
B54D22002930006,NULL,NULL
B54D22002980006,NULL,NULL
B54D22003160006,NULL,NULL
B54D22003200006,NULL,NULL
B54D22003240006,NULL,NULL
B54D22003260006,NULL,NULL
B54D22003270006,NULL,NULL
B54D22003370006,NULL,NULL
B54D22003380006,NULL,NULL
B54D22003390006,NULL,NULL
B54D22003520006,NULL,NULL
B54D22003530006,NULL,NULL
B54D22003560006,NULL,NULL
B54D22004870006,9979982DAB,NULL
B54D23002960007,NULL,NULL
B54D23002980007,NULL,NULL
B54D23002990007,NULL,NULL
B54D23003000007,NULL,NULL
B54D23003860009,NULL,NULL
B54D23003870009,NULL,NULL
B54E21011640001,B15C5229E1,NULL
B54E21011640001,B15CAD2B68,NULL
B54E21011640001,9970068862,94080887D1
B54E22000400006,A05E48B46A,9188591929
B54E22000410006,A05E48B46A,9188591929
B55B23000240006,9734190BB2,NULL
B57H21004550002,NULL,NULL
B59I23002120006,NULL,NULL
B59J21007080001,NULL,NULL
B59J21007270001,NULL,NULL
B59J21007280001,NULL,NULL
B59J21007350001,NULL,NULL
B59J21023150001,NULL,NULL
B59J21023190001,NULL,NULL
B59J21024010001,NULL,NULL
B61B20001530005,NULL,NULL
B61B23000180006,NULL,NULL
B61B23000190006,NULL,NULL
B61J22000630001,NULL,NULL
B61J23000420001,B27BDBC33C,NULL
B62C20002110002,NULL,NULL
B62J22000300007,NULL,NULL
B63E20000160001,NULL,NULL
B63E22000840001,NULL,NULL
B63H22000010001,NULL,NULL
B63H23000000001,NULL,NULL
B64B23000010005,NULL,NULL
B64C22001450009,NULL,NULL
B64C22001460009,NULL,NULL
B64C23000000009,NULL,NULL
B64C23000670009,NULL,NULL
B64C23000680009,NULL,NULL
B64C24000300009,NULL,NULL
B64C24000310009,NULL,NULL
B64D22002060006,NULL,NULL
B64D22002090006,NULL,NULL
B64D22002100006,NULL,NULL
B64D22002140006,NULL,NULL
B64D22002160006,NULL,NULL
B64D22002200006,NULL,NULL
B64D22002210006,NULL,NULL
B64D22002250006,NULL,NULL
B64D22002270006,NULL,NULL
B64D22002300006,NULL,NULL
B64D22002310006,NULL,NULL
B64D22002340006,NULL,NULL
B64D22002370006,NULL,NULL
B64D22002380006,NULL,NULL
B64D22002410006,NULL,NULL
B64D22002430006,NULL,NULL
B64D22002450006,NULL,NULL
B64D22002480006,NULL,NULL
B64D22002490006,NULL,NULL
B64D22002500006,NULL,NULL
B64D22002520006,NULL,NULL
B64D22002530006,NULL,NULL
B64D22002570006,NULL,NULL
B64D22002620006,NULL,NULL
B64D22002660006,NULL,NULL
B64D22002690006,NULL,NULL
B64D22002720006,NULL,NULL
B64D22002730006,NULL,NULL
B64D22002760006,NULL,NULL
B64D22002770006,NULL,NULL
B64D22002880006,NULL,NULL
B64D22003020006,NULL,NULL
B64D22003040006,NULL,NULL
B64D22003130006,NULL,NULL
B64D22003140006,NULL,NULL
B64E22000870006,A05E48B46A,9188591929
B64J23000290007,NULL,NULL
B64J23000330006,9744194B42,NULL
B65B22000160001,NULL,NULL
B67B22000410002,A05F2209B8,94715076D5
B67B22000420002,A061E36B38,94715076D5
B67B22000430002,A05CEB1C17,94715076D5
B67B22000430002,A05CEAA652,987298769C
B67B22000440002,A06165F300,9472811AEC
B67H20015880005,NULL,NULL
B69H13000230002,NULL,NULL
B69I22000190001,NULL,NULL
