name,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche
MII179280,35,0,33,0,0,35,10,35
MII179290,68,3,68,68,3,68,68,68
MII179299,386,57,48,0,2,386,0,0
MII179306,735,7,298,722,0,729,721,66
MII179324,265,34,184,4,7,265,225,263
MII179331,57,1,46,11,0,57,55,56
MII179342,54,0,37,0,0,54,53,54
MII179353,161,12,156,3,0,161,159,161
MII179364,515,37,443,145,16,515,515,515
MII179733,190,0,84,179,4,190,73,186
MII179781,310,55,307,40,3,310,310,310
MII179818,125,1,4,12,0,125,6,5
MII179830,110,2,105,15,2,110,110,109
MII179842,275,17,77,9,5,275,275,254
MII179856,42,1,31,0,0,42,5,42
MII179876,176,1,0,1,0,157,0,0
MII179896,48,1,0,0,0,37,47,18
MII179913,14,0,4,0,0,14,0,0
MII179932,306,21,118,13,0,285,306,306
MII179938,88,38,49,10,0,70,88,50
MII179945,29,29,29,29,0,29,9,29
MII179958,299,3,25,249,0,299,0,23
MII179965,66,9,54,3,2,56,66,66
MII179981,49,0,0,0,0,49,49,49
MII179988,85,8,85,0,3,85,85,85
MII179995,85,7,81,14,1,85,85,80
MII180001,53,0,33,36,0,53,41,53
MII180348,171,7,94,87,8,132,171,169
MII180356,43,10,43,0,0,43,43,43
MII180370,624,65,108,1,10,375,621,571
MII180380,381,110,61,58,0,60,381,381
MII180401,323,33,150,1,0,323,320,323
MII180415,142,0,136,46,0,142,142,142
MII180424,113,2,109,109,6,113,113,109
MII180426,130,1,70,86,4,130,104,82
MII180437,275,0,66,204,4,275,270,98
MII180451,21,1,21,0,1,1,9,21
MII180458,231,20,0,4,0,231,231,204
MII180465,109,2,68,99,0,109,109,10
MII180476,38,0,0,0,0,38,38,0
MII180487,404,65,339,295,8,404,404,244
MII181079,86,3,82,0,0,86,86,86
MII181091,292,1,292,9,22,292,292,201
MII181109,25,16,24,0,0,22,10,23
MII181115,39,0,1,4,0,39,39,1
MII181125,245,1,219,19,2,245,245,245
MII181346,20,0,3,0,0,18,3,20
MII181358,403,0,130,1,2,403,403,320
MII181371,299,2,15,290,0,299,299,9
MII181377,349,16,135,96,5,349,280,76
MII181385,90,0,90,18,4,90,90,90
MII181392,239,1,11,26,1,239,5,4
MII181401,51,0,42,1,1,42,35,51
MII181407,281,0,70,201,4,281,281,71
MII181417,149,1,2,149,0,149,0,0
MII181424,936,22,14,90,7,936,936,902
MII181434,202,89,114,94,7,146,114,202
MII181440,19,0,0,19,0,19,19,0
MII181625,233,32,159,71,10,205,165,187
MII181636,170,2,170,170,13,170,170,163
MII181645,63,1,6,5,0,62,5,6
MII181661,64,4,5,39,0,48,7,64
MII181672,62,0,60,60,1,62,62,60
MII181678,165,30,142,76,17,143,163,164
MII181681,42,0,3,1,1,42,42,42
MII181691,10,0,9,9,0,10,10,10
MII181703,47,0,15,0,0,47,47,1
MII181820,98,28,15,85,1,98,98,93
MII181839,276,43,76,265,5,276,206,69
MII181847,28,0,16,28,0,28,9,14
MII181863,86,2,86,86,0,86,86,86
MII181870,37,0,34,5,1,37,37,35
MII181880,193,36,14,19,0,193,193,193
MII181891,308,15,89,281,2,308,1,1
MII181908,154,23,121,8,0,154,154,154
MII181918,204,26,204,196,4,204,204,179
MII181924,236,14,0,222,0,236,0,0
MII181934,440,35,7,404,2,440,440,159
MII182339,265,61,27,264,0,265,157,17
MII182440,33,2,33,1,0,33,33,33
MII182910,298,6,113,104,4,298,298,298
MII182919,153,10,28,114,2,85,121,149
