"tipo_id","tipo_label","n","titolo","data_pubblicazione","download_titolo","download_url"
"OC","ordinanze commissariali","11","Istituzione e funzionamento del Comitato Tecnico Scientifico della Struttura del Commissario straordinario del Governo per la ricostruzione nei territori dei Comuni delle Regioni di Abruzzo, Lazio, Marche ed Umbria interessati dall’evento sismico del 24 agosto 2016","","Ordinanza n. 11 del 9 gennaio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-11-comitato-tecnico-scientifico.pdf"
"OC","ordinanze commissariali","12","Attuazione dell’articolo 34 del decreto legge 17 ottobre 2016, n. 189, convertito con modificazioni dalla legge 15 dicembre 2016 n. 229, e modifiche agli articoli 1, comma 2, lettera c) e 6, comma 2, dell’ordinanza n. 8 del 14 dicembre 2016, agli articoli 1, 3, comma 1, e 5, comma 2, dell’ordinanza n. 9 del 14 dicembre 2016, ed all’articolo 1, commi 1 e 2, dell’ordinanza n. 10 del 19 dicembre 2016","","Ordinanza n. 12 del 9 gennaio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-12-professionisti.pdf"
"OC","ordinanze commissariali","13","Misure per la riparazione, il ripristino e la ricostruzione di immobili ad uso produttivo distrutti o danneggiati e per la ripresa delle attività economiche e produttive nei territori colpiti dagli eventi sismici del 24 agosto, 26 e 30 ottobre 2016","","Ordinanza n. 13 del 9 gennaio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-13-ricostruzione-imprese.pdf"
"OC","ordinanze commissariali","14","Approvazione del programma straordinario per la riapertura delle scuole per l’anno scolastico 2017-2018.","","Ordinanza n.14 del 16 gennaio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n.-14-riapertura-scuole-A.S.-2017-2018.pdf"
"OC","ordinanze commissariali","15","Organizzazione della struttura centrale del Commissario straordinario del Governo per la ricostruzione nei territori delle Regioni di Abruzzo, Lazio, Marche e Umbria interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016","","Ordinanza n. 15 del 27 gennaio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-15-organizzazione-struttura.pdf"
"OC","ordinanze commissariali","16","Disciplina delle modalità di funzionamento e di convocazione della Conferenza permanente e delle Conferenze regionali previste dall’articolo 16 del decreto legge 17 ottobre 2016, n. 189, come convertito dalla legge 15 dicembre 2016, n. 229 e s.m.i...","","Ordinanza n. 16 del 3 marzo 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n.-16-conferenza-permanente-.pdf"
"OC","ordinanze commissariali","17","Disciplina delle modalità di effettuazione delle erogazioni liberali ai fini della realizzazione di interventi per la ricostruzione e ripresa dei territori colpiti dagli eventi sismici","","Ordinanza n. 17 del 10 marzo 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-17-erogazioni-liberali.pdf"
"OC","ordinanze commissariali","18","Modifiche all’ordinanza n. 14 del 16 gennaio 2017 recante “Approvazione del programma straordinario per la riapertura delle scuole per l’anno scolastico 2017-2018”.","","Ordinanza n. 18 del 3 aprile 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.18-del-3-aprile-2017-3.pdf"
"OC","ordinanze commissariali","19","Misure per il ripristino con miglioramento sismico e la ricostruzione di immobili ad uso abitativo gravemente danneggiati o distrutti dagli eventi sismici verificatisi a far data dal 24 agosto 2016","","Ordinanza n. 19 del 7 aprile 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-ricostruzione-privata-n-19-del-7-4-20171.pdf"
"OC","ordinanze commissariali","20","Modifiche all’ordinanza n. 4 del 17 novembre 2016, all’ordinanza n. 8 del 14 dicembre 2016, ordinanza n. 9 del 14 dicembre 2016 ed all’ordinanza n. 15 del 27 gennaio 2017","","Ordinanza n. 20 del 7 aprile 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-20-del-7.04.2017.pdf"
"OC","ordinanze commissariali","21","Assegnazione di contributi per spese di traslochi e depositi temporanei di mobili di abitazioni dichiarate totalmente inagibili nei territori delle Regioni Abruzzo, Lazio, Marche ed Umbria, a seguito degli eventi sismici verificatisi a far data dal 24 agosto 2016, e modifiche all’articolo 4, comma 1, dell’ordinanza n. 19 del 7 aprile 2017.","","Ordinanza n. 21 del 28 aprile 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-21-del-28-4-2017.pdf"
"OC","ordinanze commissariali","22","Seconde linee direttive per la ripartizione e l’assegnazione del personale con professionalità di tipo tecnico, di tipo tecnico-ingegneristico e di tipo amministrativo-contabile destinato ad operare presso la Struttura commissariale centrale, presso gli Uffici speciali per la ricostruzione, presso le Regioni, le Province, i Comuni e gli Enti parco nazionali ai sensi e per gli effetti degli articoli 3, 50 e 50 – bis del decreto legge 17 ottobre 2016, n. 189.","","Ordinanza n. 22 del 4 maggio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n-22-del-4-maggio-2017-1.pdf"
"OC","ordinanze commissariali","23","Messa in sicurezza delle chiese danneggiate dagli eventi sismici iniziati il 24 agosto 2016 con interventi finalizzati a garantire la continuità dell’esercizio del culto. Approvazione criteri e primo programma interventi immediati.","","Ordinanza n. 23 del 5 maggio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-23-del-5-maggio-2017-2.pdf"
"OC","ordinanze commissariali","24","Assegnazione dei finanziamenti per gli studi di microzonazione sismica di III livello ai Comuni interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016 e proroga di termini di cui all’ordinanza n. 13 del 9 gennaio 2017","","Ordinanza n. 24 del 12maggio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-24-del-12-maggio-2017.pdf"
"OC","ordinanze commissariali","25","Criteri per la perimetrazione dei centri e nuclei di particolare interesse che risultano maggiormente colpiti dagli eventi sismici verificatisi a far data dal 24 agosto 2016","","Ordinanza n. 25 del 23 maggio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-25-del-23-maggio-20172.pdf"
"OC","ordinanze commissariali","26","Linee direttive per la ripartizione e l’assegnazione delle risorse per la costituzione ed il funzionamento degli Uffici speciali per la ricostruzione e modifiche all’ordinanza n. 1 del 10 novembre 2016 recante “Schema tipo di convenzione per l’istituzione dell’Ufficio comune denominato “Ufficio speciale per la ricostruzione post sisma 2016” di cui all’art. 3 del decreto legge 17 ottobre 2016, n. 189”.","","Ordinanza n. 26 del 29 maggio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-26-del-29-maggio-2017-1.pdf"
"OC","ordinanze commissariali","27","Misure in materia di riparazione del patrimonio edilizio pubblico suscettibile di destinazione abitativa.","","Ordinanza n. 27 del 9 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-27-del-9-giugno-1.pdf"
"OC","ordinanze commissariali","28","Modifiche all’ordinanza n. 19 del 7 aprile 2017, recante “Misure per il ripristino con miglioramento sismico e la ricostruzione di immobili ad uso abitativo gravemente danneggiati o distrutti dagli eventi sismici verificatisi a far data dal 24 agosto 2016”, misure di attuazione dell’articolo 2, comma 5, del decreto legge n. 189 del 2016, modifiche all’ordinanza commissariale n. 14 del 2016 e determinazione degli oneri economici relativi agli interventi di cui all’allegato n. 1 dell’ordinanza commissariale n. 14 del 16 gennaio 2017","","Ordinanza n. 28 del 9 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-28-del-giugno-2017.pdf"
"OC","ordinanze commissariali","29","Modifiche ed integrazioni all'ordinanza n. 12 del 9 gennaio 2017, recante “Attuazione dell’articolo 34 del decreto legge 17 ottobre 2016, n. 189, convertito con modificazioni dalla legge 15 dicembre 2016 n. 229”, all’ordinanza n. 10 del 19 dicembre 2016, recante “Disposizioni concernenti i rilievi di agibilità post sismica conseguenti agli eventi sismici che hanno colpito il territorio delle Regioni Lazio, Marche, Umbria e Abruzzo a partire dal giorno 24 agosto 2016” ed all’ordinanza n. 24 del 12 maggio 2017, recante “Assegnazione dei finanziamenti per gli studi di microzonazione sismica di III livello ai Comuni interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016 e proroga di termini di cui all’ordinanza n. 13 del 9 gennaio 2017”.","","Ordinanza n. 29 del 9 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-29-del-9-giugno-2017.pdf"
"OC","ordinanze commissariali","30","Modifiche all’ordinanza n. 13 del 9 gennaio 2017, recante “Misure per la riparazione, il ripristino e la ricostruzione di immobili ad uso produttivo distrutti o danneggiati e per la ripresa delle attività economiche e produttive nei territori colpiti dagli eventi sismici del 24 agosto, 26 e 30 ottobre 2016” ed all’ordinanza n. 9 del 14 dicembre 2016, recante “Delocalizzazione immediata e temporanea delle attività economiche danneggiate dagli eventi sismici del 24 agosto, 26 e 30 ottobre 2016 e all’ordinanza n. 15 del 27 gennaio 2017, recante “Organizzazione della struttura centrale del Commissario straordinario del Governo per la ricostruzione nei territori delle Regioni di Abruzzo, Lazio, Marche e Umbria interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016”.","","Ordinanza n 30 del 21 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-30-del-21.6.2017-1.pdf"
"OC","ordinanze commissariali","31","Approvazione dello schema di convenzione ai sensi dell’art. 3, comma 1, del decreto legge 17 ottobre 2016, n. 189, tra il Commissario straordinario del Governo per la ricostruzione nei territori dei Comuni delle Regioni di Abruzzo, Lazio, Marche e Umbria interessati dall’evento sismico del 24 agosto 2016, l’Ente Parco Nazionale dei Monti Sibillini e l’Ente Parco Nazionale del Gran Sasso e Monti della Laga.","","Ordinanza n. 31 del 21 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-31-del-21.6.2017-1.pdf"
"OC","ordinanze commissariali","32","Messa in sicurezza delle chiese danneggiate dagli eventi sismici iniziati il 24 agosto 2016 con interventi finalizzati a garantire la continuità dell’esercizio del culto. Approvazione criteri e secondo programma interventi immediati","","Ordinanza n. 32 del 21 giugno 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n.-32-del-21.6.2017-1.pdf"
"OC","ordinanze commissariali","33","Approvazione del programma straordinario per la riapertura delle scuole nei territori delle Regioni Abruzzo, Lazio, Marche ed Umbria interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016; disciplina della qualificazione dei professionisti, dei criteri per evitare la concentrazione degli incarichi nelle opere pubbliche e determinazione del contributo relativo alle spese tecniche.","","Ordinanza n. 33 dell’11 luglio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-33-scuole-11-7-2017-1.pdf"
"OC","ordinanze commissariali","34","Approvazione del Protocollo di intesa fra il Commissario straordinario del Governo per la ricostruzione nei territori interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016, la Guardia di Finanza e il Corpo Nazionale dei Vigili del Fuoco per l’effettuazione dei controlli a campione sulle perizie giurate relative alle schede AeDES.","","Ordinanza n. 34 dell’11 luglio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-34-controlli-GdF-e-VV-FF.pdf"
"OC","ordinanze commissariali","35","Modifiche all’ordinanza n. 14 del 16 gennaio 2017, all’ordinanza n. 18 del 7 aprile 2017 ed all’ordinanza n. 33 dell’11 luglio 2017","","Ordinanza n. 35 del 31 luglio 2017","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-35-del-31-luglio-2017.pdf"
"OC","ordinanze commissariali","36","Disciplina delle modalità di partecipazione delle popolazioni dei territori interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016 all’attività di ricostruzione. Modifiche all’ordinanza n. 4 del 17 novembre 2016, all’ordinanza n. 9 del 14 dicembre 2016, all’ordinanza n. 12 del 9 gennaio 2017, all’ordinanza n. 13 del 9 gennaio 2017, all’ordinanza n. 27 del 9 giugno 2017, all’ordinanza n. 29 del 9 giugno 2017 ed all’ordinanza n. 30 del 21 giugno 2017. Misure attuative dell’articolo 18 – decies del decreto legge 9 febbraio 2017, n. 8, convertito con modificazioni dalla legge 7 aprile 2017, n. 45.","","Ordinanza n. 36 dell’8 settembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-36-del-2017.pdf"
"OC","ordinanze commissariali","37","Approvazione del primo programma degli interventi di ricostruzione, riparazione e ripristino delle opere pubbliche nei territori delle Regioni Abruzzo, Lazio, Marche ed Umbria interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016.","","Ordinanza n. 37 dell’8 settembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-37-del-2017-Opere-pubbliche.pdf"
"OC","ordinanze commissariali","38","Approvazione del primo piano di interventi sui beni del patrimonio artistico e culturale, compresi quelli sottoposti a tutela ai sensi del codice di cui al decreto legislativo 22 gennaio 2004, n. 42","","Ordinanza n. 38 dell’8 settembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Oridnanza-n.-38-del-2017-beni-culturali.pdf"
"OC","ordinanze commissariali","39","Principi di indirizzo per la pianificazione attuativa connessa agli interventi di ricostruzione nei centri storici e nuclei urbani maggiormente colpiti dagli eventi sismici verificatisi a far data dal 24 agosto 2016.","","Ordinanza n. 39 dell’8 settembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-pianificazione-attuativa-n.-39-del-2017.pdf"
"OC","ordinanze commissariali","40","Compensi per prestazioni di lavoro straordinario del personale non dirigenziale delle pubbliche amministrazioni operante presso la Struttura commissariale centrale e presso gli Uffici speciali per la ricostruzione, ai sensi e per gli effetti dell’art. 50, comma 7, lettera a), e comma 7-bis, del decreto legge 17 ottobre 2016, n. 189","","Ordinanza n. 40 dell’8 settembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-40-del-2017.pdf"
"OC","ordinanze commissariali","41","Misure per assicurare la regolarità contributiva delle imprese che operano nella ricostruzione pubblica e privata.","","Ordinanza n. 41 del 2 novembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-41-del-2017-Durc-congruità.pdf"
"OC","ordinanze commissariali","42","Disciplina degli interventi a favore delle micro, piccole e medie imprese nelle zone colpite dagli eventi sismici ai sensi dell’articolo 24 del decreto legge 17 ottobre 2016, n. 189.","","Ordinanza n. 42 del 14 novembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-42-del-14-novembre-2017.pdf"
"OC","ordinanze commissariali","43","Disciplina dei contributi relativi alle attività di rilievo topografico, di redazione della relazione geotecnica/geologica, di demolizione e conferimento in discarica delle macerie e di realizzazione delle opere di urbanizzazione primaria afferenti gli interventi disciplinati dall’ordinanza commissariale n.14 del 16 gennaio 2017 e ss.mm.ii. Disciplina delle modalità di erogazione dei contributi per l’attività di ricostruzione pubblica in presenza di altri contributi o di indennizzi assicurativi per la copertura dei medesimi danni","","Ordinanza n. 43 del 15 dicembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-43-del-15-dicembre-2017.pdf"
"OC","ordinanze commissariali","44","Criteri di indirizzo per la progettazione e la realizzazione degli interventi di riparazione e di rafforzamento locale degli edifici che hanno subito danni lievi a causa degli eventi sismici del 24 agosto 2016 e dei mesi successivi in Italia centrale","","ordinanza-n-44-del-15-dicembre-2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-44-del-15-dicembre-2017.pdf"
"OC","ordinanze commissariali","45","“Approvazione dello schema di Addendum alla convenzione del 6 dicembre 2016 tra il Commissario straordinario del Governo post sisma 2016/2017 ed INVITALIA per l’individuazione del personale per attività di supporto tecnico-ingegneristico e di tipo amministrativo–contabile finalizzate a fronteggiare le esigenze delle popolazioni colpite dai terremoti del 24 agosto 2016 e dei mesi successivi nei territori delle regioni Abruzzo, Lazio, Marche ed Umbria”.","","Ordinanza n. 45 del 15 dicembre 2017","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-45-del-15-dicembre-2017.pdf"
"OC","ordinanze commissariali","46","Modifiche alle ordinanze n. 4 dell’17 novembre 2016, n. 8 del 14 dicembre 2016, n. 9 del 14 dicembre 2016, n. 13 del 9 gennaio 2017, n. 19 del 7 aprile 2017, n. 32 dell’11 luglio 2017, n. 33 dell’11 luglio 2017, n. 37 dell’8 settembre 2017, n. 38 dell’8 settembre 2017 e n. 39 dell’8 settembre 2017.","","Ordinanza n.46 del 10 gennaio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-46-del-10.01.2018-1.pdf"
"OC","ordinanze commissariali","47","“Utilizzo del partenariato pubblico-privato per gli interventi di riparazione, ricostruzione e ripristino di edifici pubblici nonché volti ad assicurare la funzionalità di servizi pubblici”.","","Ordinanza n. 47 del 10 gennaio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-47-del-10.01.2018.pdf"
"OC","ordinanze commissariali","48","“Disciplina delle modalità di attuazione degli interventi finanziati con le donazioni raccolte mediante il numero solidale 45500 e i versamenti sul conto corrente bancario attivato dal Dipartimento della Protezione civile, di assegnazione e di trasferimento delle relative risorse finanziarie”.","","Ordinanza n. 48 dell'11 gennaio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/ordinanza-n.-48-del-10.01.2018.pdf"
"OC","ordinanze commissariali","49","Approvazione dello schema di Addendum alla convenzione del 7 dicembre 2016 tra il Commissario straordinario del governo per la ricostruzione post sisma 2016 nei territori delle regioni Abruzzo, Lazio, Marche ed Umbria e FINTECNA per l’individuazione del personale da adibire alle attività di supporto tecnico-ingegneristico finalizzate a fronteggiare le esigenze delle popolazioni colpite dagli eventi sismici del 24 agosto 2016 nei territori delle Regioni Abruzzo, Lazio, Marche ed Umbria","","ordinanza-n-49-del-26-febbraio-2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-49-del-26-febbraio-2018.pdf"
"OC","ordinanze commissariali","50","Modalità di anticipazione e rimborso del trattamento economico del personale della struttura, nonché di destinazione e ripartizione delle risorse assegnate agli USR (articolo 50, comma 8; articolo 50, comma 7-bis; articolo 3, comma 1, del decreto-legge n. 189/2016).","","Ordinanza n. 50 del 28 marzo 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-50-modalità-anticipazione-e-rimborso-definitiva-con-allegato....pdf"
"OC","ordinanze commissariali","51","Attuazione dell’articolo 13 del decreto-legge 17 ottobre 2016, n. 189, convertito con modificazioni dalla legge 15 dicembre 2016, n. 229, e s.m.i. Interventi di ricostruzione su edifici pubblici e privati già interessati da precedenti eventi sismici","","Ordinanza n. 51 del 28 marzo 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-51-sovrapposizione-con-allegati.cleaned-1.pdf"
"OC","ordinanze commissariali","52","Procedimento di accertamento delle violazioni degli obblighi a carico dei professionisti iscritti nell’elenco speciale di cui all’articolo 34 del d.l. 189 del 2016 e s.m.i e nella attività di redazione delle schede Aedes. Attuazione dell’articolo 2 bis del decreto legge n. 148 del 16 ottobre 2017, convertivo con modificazioni in legge convertito, con modificazioni, dalla L. 4 dicembre 2017, n. 172.","","Ordinanza n. 52 del 28 marzo 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-52-cancellazione-elenco-professionisti.pdf"
"OC","ordinanze commissariali","53","Modifiche e integrazioni all'ordinanza n. 16 del 3 marzo 2017, all'ordinanza n.42 del 14 novembre 2017 e all'ordinanza n.46 del 10 gennaio 2018.","","Ordinanza n. 53 del 24 aprile 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/ordinanza-n.-53-conferenza-permanente-e-modifiche-ord.-n.42-e-46-20_4.pdf"
"OC","ordinanze commissariali","54","Attuazione dell’articolo 23, comma 2, del decreto legge 189 del 2016 e s.m.i. Ripartizione delle somme destinate al finanziamento dei progetti e formazione in materia di salute e sicurezza del lavoro e criteri generali di utilizzo delle risorse","","Ordinanza n. 54 del 24 aprile 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n.-54-INAIL-24.04.18.pdf"
"OC","ordinanze commissariali","55","Disciplina per la delocalizzazione temporanea delle attività economiche o produttive e dei servizi pubblici danneggiati dal sisma eseguiti e conclusi in data anteriore a quella di entrata in vigore del decreto legge n.189 del 2016. Modifiche alle ordinanze n.24 del 12 maggio 2017, n.39 dell'8 settembre 2017 e n.51 del 29 marzo 2018. Proroga del termine di cui all'articolo 8, comma 4, del decreto - legge 17 ottobre 2016, n.189, convertito con modificazioni dalla legge 15 dicembre 2016, n.229 e s.m.i. Termine per il deposito delle schede AeDES.","","Ordinanza n. 55 del 24 aprile 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/ordinanza-n.-55-delocalizzazioni-con-modifiche-approvate-ed-AEDES-con-allegato-24.04.18.pdf"
"OC","ordinanze commissariali","56","“Approvazione del secondo programma degli interventi di ricostruzione, riparazione e ripristino delle opere pubbliche nei territori delle Regioni Abruzzo, Lazio, Marche ed Umbria interessati dagli eventi sismici verificatisi a far data dal 24 agosto 2016. Modifiche e integrazioni alle ordinanze n. 27 del 9 giugno 2017, n. 33 dell’11 luglio 2017, n. 37 dell’8 settembre 2017 e n. 38 dell’8 settembre 2017. Individuazione degli interventi che rivestono importanza essenziale ai fini della ricostruzione.”","","ordinanza-n-56-del-10-5-2018-1","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-n-56-del-10.5.2018-1.pdf"
"OC","ordinanze commissariali","57","Disciplina della costituzione e quantificazione del fondo di cui all’articolo 113, comma 2, del decreto legislativo 18 aprile 2016, n. 50, come modificato dal decreto legislativo 19 aprile 2017, n. 56, e regolamentazione delle modalità e dei criteri di ripartizione delle relative risorse finanziarie","","Ordinanza n. 57 del 4 luglio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/Ordinanza-N.-57-del-4.7.18.pdf"
"OC","ordinanze commissariali","58","Attuazione dell’articolo 1, comma 2, dell’ordinanza n. 41 del 2.11.2017: misure dirette ad assicurare la regolarità contributiva delle imprese operanti nella ricostruzione pubblica e privata","","ordinanza-n-58-del-7-4-2018-durc","https://sisma2016.gov.it/wp-content/uploads/2019/11/ORDINANZA-n.-58-del-7.4.2018-DURC.pdf"
"OC","ordinanze commissariali","59","Attuazione dell’articolo 12, comma 5, del decreto legge 189 del 2016 e s.m.i.; Modalità e procedure di verifica a campione sugli interventi di ricostruzione privata ammessi a contributo.","","Ordinanza n. 59 del 31 luglio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/59-Ordinanza-n.-59-verifiche-a-campione-1.pdf"
"OC","ordinanze commissariali","60","Rapporti tra interventi di ricostruzione privata e benefici fiscali di cui all’articolo 16, comma 1-bis, del decreto-legge 4 giugno 2013, n. 63, convertito con modificazioni dalla legge 3 agosto 2013, n. 90, e s.m.i. (sisma bonus).","","Ordinanza n. 60 del 31 luglio 2018","https://sisma2016.gov.it/wp-content/uploads/2019/11/ordinanza-n.-60.pdf"
"OC","ordinanze commissariali","61","Misure per la riparazione, il ripristino e la ricostruzione di immobili di proprietà privata di interesse culturale o destinati a uso pubblico.","","61-ordinanza-n-61-beni-pubblici-uso-privato","https://sisma2016.gov.it/wp-content/uploads/2019/11/61-ordinanza-n.-61-beni-pubblici-uso-privato.pdf"
